INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA insid 1051,INSTITUTIONS*NAME_CLASS*U,Bibliothèque National de France,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-05,AVENOZA,2024-04-02,SORIANO,,,,,Paris: Bibliothèque National de France
BITECA insid 1052,INSTITUTIONS*NAME_CLASS*U,Bibliothèque Imperiale,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-05,AVENOZA,,,,,,,Paris: Bibliothèque Imperiale
BITECA insid 1053,INSTITUTIONS*NAME_CLASS*U,Santa Maria de Castelló d’Empúries,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CHURCH,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-05,AVENOZA,2024-04-02,SORIANO,,,,,Castelló d’Empúries: Santa Maria de Castelló d’Empúries
BITECA insid 1054,INSTITUTIONS*NAME_CLASS*U,Abbaye Saint-Germain-des-Prés,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1077,,,,,,,,,,,,,,,,,BITECA bibid 5447,,,,,,,,,,,,,,,,,,,1991-05-05,AVENOZA,2004-08-22,AVENOZA,,,,,Paris: Abbaye Saint-Germain-des-Prés
BITECA insid 1055,INSTITUTIONS*NAME_CLASS*U,Monestir de Sant Joan de les Abadesses,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,885,,,,,INSTITUTIONS*CLASS*MONASTERY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1402,,,,,,,,,,,,,,,,,BITECA bibid 3074,,350,,,,,,,,,BITECA subid 10080,,,,,,"Benedictines, després canonges regulars (transformada en canonges agustins regulars en 1114)",,1991-05-07,AVENOZA,2024-04-02,SORIANO,,,,,Monestir de Sant Joan de les Abadesses
BITECA insid 1056,INSTITUTIONS*NAME_CLASS*U,Biblioteca dels reis d’Aragó,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1039,,,,,,,INSTITUTIONS*RELATED_INSCLASS*ALT,,BITECA insid 1051,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-07,AVENOZA,2024-05-14,SORIANO,,,,,Napoli: Biblioteca dels reis d’Aragó
BITECA insid 1057,INSTITUTIONS*NAME_CLASS*U,Bibliothèque Inguimbertine,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-07,AVENOZA,2024-04-17,TRIADO,,,,,Carpentras: Bibliothèque Inguimbertine
BITECA insid 1058,INSTITUTIONS*NAME_CLASS*U,Arxiu Corona d’Aragó,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-13,AVENOZA,2007-12-12,AVENOZA,,,,,Barcelona: Arxiu Corona d’Aragó
BITECA insid 1059,INSTITUTIONS*NAME_CLASS*U,Estudi General de Lleida,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*SCHOOL,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-13,AVENOZA,2024-04-17,TRIADO,,,,,Estudi General de Lleida
BITECA insid 1060,INSTITUTIONS*NAME_CLASS*U,"Confraria de l’ofici dels tapiners, picadors i pintors de tapins",,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*GUILD,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-13,AVENOZA,1992-09-26,AVENOZA,,,,,"Barcelona: Confraria de l’ofici dels tapiners, picadors i pintors de tapins"
BITECA insid 1061,INSTITUTIONS*NAME_CLASS*U,Confraria del gloriós sant Jeroni,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*GUILD,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-13,AVENOZA,1992-09-26,AVENOZA,,,,,València: Confraria del gloriós sant Jeroni
BITECA insid 1062,INSTITUTIONS*NAME_CLASS*U,Ofici dels teixidors de seda,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-13,AVENOZA,,,,,,,València: Ofici dels teixidors de seda
BITECA insid 1063,INSTITUTIONS*NAME_CLASS*U,Companyia Catalana d’Orient,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,per Roger de Flor,,,,1303,,1318.0,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2018-06-25,SORIANO,,,,,Corona d’Aragó (regne): Companyia Catalana d’Orient
BITECA insid 1064,INSTITUTIONS*NAME_CLASS*U,Govern de Gerba i els Quèrquens,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*OTHER,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITECA geoid 1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-15,AVENOZA,2024-04-18,SORIANO,,,,,Canet d’En Berenguer: Govern de Gerba i els Quèrquens
