GEOID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,CLASS,TYPE,LATITUDE,LONGITUDE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP geoid 6123,GEOGRAPHY*NAME_CLASS*U,Castelo da Viila Verde dos Francos,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2650,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-04,ASKINS,2024-01-30,ASKINS,,,,,Castelo da Viila Verde dos Francos (castelo)
BITAGAP geoid 6124,GEOGRAPHY*NAME_CLASS*U,Vila Real de Santo António,,,,,,,GEOGRAPHY*CLASS*P,GEOGRAPHY*TYPE*T,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2870,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-04,ASKINS,,,,,,,Vila Real de Santo António
BITAGAP geoid 6125,GEOGRAPHY*NAME_CLASS*U,Castelo de Valhelhas,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2537,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,Restos.<br />,,2022-05-04,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Valhelhas (castelo)
BITAGAP geoid 6126,GEOGRAPHY*NAME_CLASS*U,Castelo de Portuzelo,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1094,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,"Edifício de século XII (casa/torre) , muito remodelado nos 1850.<br />",,2022-05-04,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Portuzelo (castelo)
BITAGAP geoid 6127,GEOGRAPHY*NAME_CLASS*U,Castelo da Vidigueira,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1250,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-04,ASKINS,2024-01-30,ASKINS,,,,,Castelo da Vidigueira (castelo)
BITAGAP geoid 6128,GEOGRAPHY*NAME_CLASS*U,Valas de Azambuja,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*LUG,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1112,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-04,SHARRER,2024-01-30,ASKINS,,,,,Valas de Azambuja (lugar - local)
BITAGAP geoid 6129,GEOGRAPHY*NAME_CLASS*U,Castelo de Degebe,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3281,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,Ruinas.<br />,,2022-05-06,ASKINS,2024-07-09,SHARRER,,,,,Castelo de Degebe (castelo)
BITAGAP geoid 6130,GEOGRAPHY*NAME_CLASS*U,Coto de Sendim,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*LUG,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 3262,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-06,ASKINS,,,,,,,Coto de Sendim (lugar - local)
BITAGAP geoid 6131,GEOGRAPHY*NAME_CLASS*U,Castelo de Penacova,,,,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 1245,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Penacova (castelo)
BITAGAP geoid 6132,GEOGRAPHY*NAME_CLASS*U,Castelo de Pirescoxe,,1442,ca.,,,,GEOGRAPHY*CLASS*G,GEOGRAPHY*TYPE*F,,,GEOGRAPHY*RELATED_GEOCLASS*LO,,BITAGAP geoid 2248,,,,,,,,,,,,,,,,,,,BITAGAP subid 1494,,,,,,Paço acastelado.<br />,,2022-05-06,ASKINS,2024-01-30,ASKINS,,,,,Castelo de Pirescoxe (castelo)
