INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP insid 1005,INSTITUTIONS*NAME_CLASS*U,Harvard College,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*10,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1015,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q49123,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-13,ASKINS,2021-11-28,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q49123,,2021-11-28,"Cambridge, MA: Harvard College"
BITAGAP insid 1006,INSTITUTIONS*NAME_CLASS*U,Mosteiro de Santa Cruz (CRSA),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1131-06-28,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5225,,,,,,,,BITAGAP bibid 18977,9,passim,IPA.00004234,,,,,,BITAGAP bioid 6455,,BITAGAP subid 1324,,,,,,,,1989-12-13,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q2499524,,2021-07-16,Coimbra: Mosteiro de Santa Cruz (CRSA)
BITAGAP insid 1008,INSTITUTIONS*NAME_CLASS*U,Convento de Santo António (OFM),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,mandado edificar,,,,1463,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1079,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,,BITAGAP bibid 10560,,315,Q94852334,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q94852334,,2021-11-28,Serpa: Convento de Santo António (OFM)
BITAGAP insid 1009,INSTITUTIONS*NAME_CLASS*U,Casa de Santo António,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*15,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1014,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,?,1402,ca.,,,,,BITAGAP bibid 22953,,,Q6681450,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2021-12-15,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q66814508,,2021-11-29,Vila Franca de Xira: Casa de Santo António
BITAGAP insid 1010,INSTITUTIONS*NAME_CLASS*U,Convento de Nossa Senhora de Jesus,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1583,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,,BITAGAP bibid 2247,2,1463,Q61929567,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q61929567,,2021-11-30,Lisboa: Convento de Nossa Senhora de Jesus
BITAGAP insid 1011,INSTITUTIONS*NAME_CLASS*U,Mosteiro de São Vicente de Fora (CRSA),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1147-12-21,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5225,,,,,,,,BITAGAP bibid 17773,2,1463-64,Q1776168,,,,,,BITAGAP bioid 1145,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,http://digitarq.arquivos.pt/details?id=1461704,história,2021-11-30,Lisboa: Mosteiro de São Vicente de Fora (CRSA)
BITAGAP insid 1012,INSTITUTIONS*NAME_CLASS*U,Convento da Nossa Senhora da Graça (OESA),,,,1305,,DigitArq,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1271,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5241,,,,,,,,BITAGAP bibid 10185,2,1465,Q17117463,INSTITUTIONS*RELATED_MANCLASS*DD,BITAGAP manid 5366,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-30,SCHAFFER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q17117463,história,2021-11-30,Lisboa: Convento da Nossa Senhora da Graça (OESA)
BITAGAP insid 1013,INSTITUTIONS*NAME_CLASS*U,Colégio da Companhia de Jesus,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-14,ASKINS,2019-04-09,ASKINS,,,,,Porto: Colégio da Companhia de Jesus
BITAGAP insid 1014,INSTITUTIONS*NAME_CLASS*U,Colégio da Companhia de Jesus,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-14,ASKINS,2019-04-09,ASKINS,,,,,Santarém: Colégio da Companhia de Jesus
BITAGAP insid 1015,INSTITUTIONS*NAME_CLASS*U,Cartuxa de Scala Coeli,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1587,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1008,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6265,,,,,,,,BITAGAP bibid 11762,,203r-v,Q17117440,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q17117440,,2021-11-30,Évora: Cartuxa de Scala Coeli
BITAGAP insid 1016,INSTITUTIONS*NAME_CLASS*U,Colegio Mayor de Cuenca,,1500,,,,Wikidata,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1013,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q5777012,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-14,ASKINS,2021-11-30,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q5777012,,2021-11-30,Salamanca: Colegio Mayor de Cuenca
BITAGAP insid 1017,INSTITUTIONS*NAME_CLASS*U,Catedral de Sevilla,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*2,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1018,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q231606,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-14,ASKINS,2021-11-30,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q231606,,2021-11-30,Sevilha: Catedral de Sevilla
BITAGAP insid 1018,INSTITUTIONS*NAME_CLASS*U,Biblioteca Palatina,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1020,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q3639607,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-14,ASKINS,2024-01-21,ASKINS,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q3639607,,2021-11-30,Florença: Biblioteca Palatina
BITAGAP insid 1019,INSTITUTIONS*NAME_CLASS*U,Biblioteca do Liceu Central de José Falcão,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,,,,,,,,,,,BITAGAP bibid 15330,6,203-05,1512-1634,,,,,,,,,,,,,,,,1989-12-14,ASKINS,2024-04-14,SCHAFFER,,,,,Coimbra: Biblioteca do Liceu Central de José Falcão
BITAGAP insid 1020,INSTITUTIONS*NAME_CLASS*U,Colégio de Santa Rita dos Agostinhos Descalços,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1750,ca.,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6287,,,,,,,,BITAGAP bibid 18010,,109-10,Q66942189,,,,,,,,BITAGAP subid 1007,,,,,,,,1989-12-14,ASKINS,2024-06-23,SCHAFFER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q66942189,,2021-11-30,Coimbra: Colégio de Santa Rita dos Agostinhos Descalços
BITAGAP insid 1021,INSTITUTIONS*NAME_CLASS*U,Convento de Santa Clara (OFM),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1286,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,INSTITUTIONS*RELATED_BIBCLASS*TRA,BITAGAP bibid 20147,4,30-31,IPA.00002807,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,http://www.monumentos.gov.pt/Site/APP_PagesUser/SIPA.aspx?id=2807,descrição e cronologia,2021-07-07,Coimbra: Convento de Santa Clara (OFM)
BITAGAP insid 1022,INSTITUTIONS*NAME_CLASS*U,Convento de Santo António de Nossa Senhora da Merceana,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1373,,,,,,,,,,,,,,,,,BITAGAP bibid 15624,,,Q63214136,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-14,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q63214136,,2021-12-01,Aldeia Galega da Merceana: Convento de Santo António de Nossa Senhora da Merceana
BITAGAP insid 1023,INSTITUTIONS*NAME_CLASS*U,Mosteiro de Nossa Senhora da Conceição,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1459,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1016,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 1086,,,,,,,,BITAGAP bibid 24045,6,passim,Q21532098,,,,,,,,BITAGAP subid 1483,,,,,,Desde os anos 1927-1928 o edifício do convento alberga o Museu Regional de Beja - Museu D. Rainha Leonor.,,1989-12-14,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q21532098,,2021-12-01,Beja: Mosteiro de Nossa Senhora da Conceição
BITAGAP insid 1024,INSTITUTIONS*NAME_CLASS*U,Biblioteca do Palácio da Ajuda,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,,,,,,,,,,,BITAGAP bibid 6897,2,1464-65,,,,,,,,,BITAGAP subid 1606,,,,,,,,1989-12-15,ASKINS,2024-04-14,SCHAFFER,,,,,Lisboa: Biblioteca do Palácio da Ajuda
BITAGAP insid 1025,INSTITUTIONS*NAME_CLASS*O,Casa de Nossa Senhora das Necessidades,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1745,,,,,INSTITUTIONS*CLASS*BIBL,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6507,,,,,,,,BITAGAP bibid 17180,2,1464,,,,,,,,,BITAGAP subid 1007,,,,,,,,1989-12-15,ASKINS,2024-01-29,ASKINS,,,,,Lisboa: Biblioteca - Arquivo Biblioteca
BITAGAP insid 1026,INSTITUTIONS*NAME_CLASS*U,Mosteiro de Santa Maria do Lorvão,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,878,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1022,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5224,,,,,,,,BITAGAP bibid 18061,5,348,Q10332624,,,,,,,BITAGAP geoid 2239,BITAGAP subid 1483,,,,,,,,1989-12-15,ASKINS,2024-01-28,ASKINS,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q10332624,,2021-07-16,Mosteiro de Santa Maria do Lorvão
BITAGAP insid 1027,INSTITUTIONS*NAME_CLASS*U,Colégio da Companhia de Jesus,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1542,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6474,,,,,,,,BITAGAP bibid 15151,1,593-94,,,,,,,,,BITAGAP subid 1007,,,,,,,,1989-12-16,ASKINS,2019-07-15,SCHAFFER,,,,,Coimbra: Colégio da Companhia de Jesus
BITAGAP insid 1029,INSTITUTIONS*NAME_CLASS*U,Convento de Santa Maria do Carmo,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,por Nuno Álvares Pereira,,BITAGAP geoid 1001,,1386,,1389,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 3383,,,,,,,,BITAGAP bibid 20088,,"641-44, 647",Q1470414,INSTITUTIONS*RELATED_MANCLASS*TRA,BITAGAP manid 1843,,50r,,,,BITAGAP subid 1229,,,,,,Sede moderno da Associação dos Arqueólogos Portugueses.<br />,,1989-12-16,ASKINS,2024-07-24,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q1470414,"história, descrição",2021-12-01,Lisboa: Convento de Santa Maria do Carmo
BITAGAP insid 1030,INSTITUTIONS*NAME_CLASS*U,Cartório da Câmara Municipal,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*21,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1017,,,,,,,,,,,,,,,,,BITAGAP bibid 13283,,,,,,,,,,,,,,,,,,,1989-12-16,ASKINS,2024-04-14,SCHAFFER,,,,,Santarém: Cartório da Câmara Municipal
BITAGAP insid 1031,INSTITUTIONS*NAME_CLASS*U,Mosteiro de Santa Maria de Alcobaça (OCist),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1153-04-08,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1004,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5223,,,,,,,,BITAGAP bibid 2251,2,48r-85v,Q593147,,,,,,BITAGAP bioid 1145,,BITAGAP subid 1483,,,,,,,,1989-12-16,ASKINS,2024-07-24,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q593147,,2021-12-01,Mosteiro de Santa Maria de Alcobaça (OCist)
BITAGAP insid 1032,INSTITUTIONS*NAME_CLASS*U,Biblioteca Nacional de España,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-16,ASKINS,2024-04-14,SCHAFFER,,,,,Madrid: Biblioteca Nacional de España
BITAGAP insid 1034,INSTITUTIONS*NAME_CLASS*U,Concelho de Borba,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-16,ASKINS,2001-03-11,ASKINS,,,,,Concelho de Borba
BITAGAP insid 1035,INSTITUTIONS*NAME_CLASS*U,Concelho do Porto,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-16,ASKINS,2001-03-11,ASKINS,,,,,Concelho do Porto
BITAGAP insid 1036,INSTITUTIONS*NAME_CLASS*U,Convento de São Francisco de Xabregas (OFM),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1460-04-17,,,,Tarouca (1942),INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 3004,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,,BITAGAP bibid 18040,35,396,Q17117711,,,,,,BITAGAP bioid 15150,,BITAGAP subid 1483,,,,,,,,1989-12-16,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q17117711,,2021-12-01,Xabregas (lugar - local): Convento de São Francisco de Xabregas (OFM)
BITAGAP insid 1037,INSTITUTIONS*NAME_CLASS*U,Convento de São João da Cruz,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1681,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6304,,,,,,,,BITAGAP bibid 18145,,140-41,,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-16,ASKINS,2024-06-19,SHARRER,,,,,Lisboa: Convento de São João da Cruz
BITAGAP insid 1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITAGAP insid 1039,INSTITUTIONS*NAME_CLASS*U,Casa de Nossa Senhora da Divina Providência,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1653,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*15,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6495,,,,,,,,BITAGAP bibid 18145,,321-27,,,,,,,,,BITAGAP subid 1007,,,,,,,,1989-12-16,ASKINS,2024-01-21,ASKINS,,,,,Lisboa: Casa de Nossa Senhora da Divina Providência
BITAGAP insid 1040,INSTITUTIONS*NAME_CLASS*U,Biblioteca Real,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*PART,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1024,,,,,,,,,,,,,,,,,BITAGAP bibid 17795,,,,,,,,,,,BITAGAP subid 1606,,,,,,,,1989-12-16,ASKINS,2024-04-14,SCHAFFER,,,,,Madrid: Biblioteca Real
BITAGAP insid 1041,INSTITUTIONS*NAME_CLASS*U,Mosteiro de San Martiño Pinario,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1021,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5224,,,,,,,,BITAGAP bibid 23047,,,Q3398340,,,,,,,,BITAGAP subid 1483,,,,,,Hoje o edifício é sede do Seminario Maior Compostelán (Seminario Mayor Compostelano) e também uma residência.,,1989-12-17,ASKINS,2024-06-26,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://gl.wikipedia.org/wiki/Mosteiro_de_San_Marti%C3%B1o_Pinario,,2024-06-26,Santiago de Compostela: Mosteiro de San Martiño Pinario
BITAGAP insid 1043,INSTITUTIONS*NAME_CLASS*U,Igreja colegiada de Santa Maria da Oliveira,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1000,antes de,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*31,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1010,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5224,,,,,,,,BITAGAP bibid 18605,13,49-59,IPA.00005247,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-17,ASKINS,2024-07-21,SCHAFFER,UNIVERSAL*INTERNET_CLASS*URL,http://www.monumentos.gov.pt/site/app_pagesuser/SIPA.aspx?id=5247,descrição e cronologia,2021-06-06,Guimarães: Igreja colegiada de Santa Maria da Oliveira
BITAGAP insid 1044,INSTITUTIONS*NAME_CLASS*U,Convento de Santa Ana de Coimbra (CRSA),,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1162,a quo,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5225,,,,,,,,BITAGAP bibid 22999,,211,IPA.00016508,,,,,,,,BITAGAP subid 1483,,,,,,,,1989-12-17,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://digitarq.arquivos.pt/details?id=4379851,história do convento,2022-08-05,Convento de Santa Ana de Coimbra (CRSA)
BITAGAP insid 1045,INSTITUTIONS*NAME_CLASS*U,Convento da Madre de Deus,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1508,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5226,,,,,,,,BITAGAP bibid 24045,,268,Q11156794,,,,,,BITAGAP bioid 1188,,BITAGAP subid 1483,,,,,,,,1989-12-17,ASKINS,2024-06-19,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q11156794,,2021-12-02,Lisboa: Convento da Madre de Deus
BITAGAP insid 1046,INSTITUTIONS*NAME_CLASS*U,Colegio Mayor del Arzobispo Fonseca,,1519,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*EDUCACIONAL,INSTITUTIONS*TYPE*8,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1013,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q5142855,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-18,ASKINS,2024-01-28,ASKINS,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q5142855,,2021-12-03,Salamanca: Colegio Mayor del Arzobispo Fonseca
BITAGAP insid 1047,INSTITUTIONS*NAME_CLASS*U,Academia das Ciências,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1779,,,,,INSTITUTIONS*CLASS*CULT,INSTITUTIONS*TYPE*12,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,,,,,,,,,,,BITAGAP bibid 2259,,,Q3775604,,,,,,,,BITAGAP subid 1420,,,,,,,,1989-12-18,ASKINS,2021-12-03,SHARRER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q3775604,,2021-12-03,Lisboa: Academia das Ciências
BITAGAP insid 1048,INSTITUTIONS*NAME_CLASS*U,Biblioteca do Colégio de Campolide (SJ),,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*6,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,,,,,,,,,,,BITAGAP bibid 22953,,,Q18473715,,,,,,,,BITAGAP subid 1420,,,,,,Actualmente o edifció é denominado Colégio Almeida Negreiros e forma parte do património da Universidade Nova de Lisboa.,,1989-12-20,ASKINS,2024-04-14,SCHAFFER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q18473715,,2021-12-03,Lisboa: Biblioteca do Colégio de Campolide (SJ)
