INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITAGAP insid 8361,INSTITUTIONS*NAME_CLASS*U,Confraría de Santa María dos Acibecheiros,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*COMERCIAL,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1021,,,,,,,,,,,,,,,,,BITAGAP bibid 4086,5,12,4,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Santiago de Compostela: Confraría de Santa María dos Acibecheiros
BITAGAP insid 8362,INSTITUTIONS*NAME_CLASS*U,Confraria do Serviço de Santa Maria,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Guimarães: Confraria do Serviço de Santa Maria
BITAGAP insid 8363,INSTITUTIONS*NAME_CLASS*U,Confraría dos Correeiros,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*COMERCIAL,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Santiago de Compostela: Confraría dos Correeiros
BITAGAP insid 8364,INSTITUTIONS*NAME_CLASS*U,Confraría dos Clérigos do Coro,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Santiago de Compostela: Confraría dos Clérigos do Coro
BITAGAP insid 8365,INSTITUTIONS*NAME_CLASS*U,Confraría de Santa María dos Mercaderes,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Santiago de Compostela: Confraría de Santa María dos Mercaderes
BITAGAP insid 8366,INSTITUTIONS*NAME_CLASS*U,Confraria do Espírito Santo,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Angra do Heroísmo: Confraria do Espírito Santo
BITAGAP insid 8367,INSTITUTIONS*NAME_CLASS*U,Hospital da Confraria de Espírito Santo,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*11,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1500,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Angra do Heroísmo: Hospital da Confraria de Espírito Santo
BITAGAP insid 8368,INSTITUTIONS*NAME_CLASS*U,Confraría de San Miguel,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Ourense: Confraría de San Miguel
BITAGAP insid 8369,INSTITUTIONS*NAME_CLASS*U,Confraria da Ordem de Avis,?,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*34,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1346,?,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1299,,,,,,,,2022-12-30,ASKINS,2024-01-26,ASKINS,,,,,Confraria da Ordem de Avis
BITAGAP insid 8370,INSTITUTIONS*NAME_CLASS*U,Mosteiro de São Martinho de Castanheira,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 8269,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5223,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-09,ASKINS,2024-05-06,SCHAFFER,,,,,Valle de Sanabria (vale): Mosteiro de São Martinho de Castanheira
BITAGAP insid 8372,INSTITUTIONS*NAME_CLASS*U,Igreja de Povolide,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-13,ASKINS,2024-05-06,SCHAFFER,,,,,Igreja de Povolide
BITAGAP insid 8373,INSTITUTIONS*NAME_CLASS*U,Mosteiro de Rates,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*7,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 5600,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5224,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-14,ASKINS,2024-01-26,ASKINS,,,,,Mosteiro de Rates
BITAGAP insid 8374,INSTITUTIONS*NAME_CLASS*U,Ermida de Nossa Senhora do Paraíso,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*1,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 6308,?,,,1490.0,ca.,,,,,,,,,,,INSTITUTIONS*RELATED_BIBCLASS*TRA,BITAGAP bibid 16028,,passim,,,,,,,,,,,,,,,,,2023-01-21,ASKINS,2024-06-17,ASKINS,UNIVERSAL*INTERNET_CLASS*URL,https://toponimialisboa.wordpress.com/2017/03/08/a-senhora-do-paraiso-de-d-joao-ii,,,Nossa Senhora do Paraíso (ermida): Ermida de Nossa Senhora do Paraíso
BITAGAP insid 8375,INSTITUTIONS*NAME_CLASS*U,Igreja de Santa Comba de Riba de Lima,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1258,ante,,,DIGITARQ,INSTITUTIONS*CLASS*ECLESIÁSTICA,,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 6580,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 6563,,1258,ante,,,DIGITARQ,,,,,,,,,,,,,BITAGAP subid 1483,,,,,,,,2023-01-23,ASKINS,2024-05-12,SCHAFFER,UNIVERSAL*INTERNET_CLASS*URL,https://digitarq.advct.arquivos.pt/details?id=1070799,história,2024-02-20,Diocese de Viana do Castelo (diocese): Igreja de Santa Comba de Riba de Lima
BITAGAP insid 8378,INSTITUTIONS*NAME_CLASS*U,Concelho da Póvoa de Vale do Azar,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 6329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-27,ASKINS,2024-01-26,ASKINS,,,,,Póvoa do Vale do Azar: Concelho da Póvoa de Vale do Azar
BITAGAP insid 8379,INSTITUTIONS*NAME_CLASS*U,Comuna de Mouros de Moura,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP subid 1292,,,,,,,,2023-01-29,SCHAFFER,2023-01-29,SCHAFFER,,,,,Comuna de Mouros de Moura
BITAGAP insid 8380,INSTITUTIONS*NAME_CLASS*U,Comuna de Judeus de Torres Vedras,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1249,,,,,,,,,,,,,,,,,BITAGAP bibid 24136,,246,,,,,,,,,BITAGAP subid 1291,,,,,,,,2023-01-29,SCHAFFER,2024-05-12,SCHAFFER,,,,,Comuna de Judeus de Torres Vedras
BITAGAP insid 8381,INSTITUTIONS*NAME_CLASS*U,Sinagoga de Serpa,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1079,,,,,,,,,,,,,,,,,,,,,,,,,,,BITAGAP geoid 6334,,,,,,,,,2023-01-29,SCHAFFER,,,,,,,Sinagoga de Serpa
BITAGAP insid 8382,INSTITUTIONS*NAME_CLASS*U,Sinagoga da Judiaria da Alfama,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,BITAGAP geoid 6188,,1373,,1374,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1001,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 7044,,,,,,,,,,,,,,,,,,BITAGAP geoid 6188,,,,,,,,,2023-01-29,SCHAFFER,2023-01-29,SCHAFFER,,,,,Lisboa: Sinagoga da Judiaria da Alfama
BITAGAP insid 8383,INSTITUTIONS*NAME_CLASS*U,Sinagoga de Leiria,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1023,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 7079,,,,,,,,BITAGAP bibid 23416,28,"2, 10-11, 14",,,,,,,,BITAGAP geoid 6322,BITAGAP subid 1291,,,,,,,,2023-01-29,SCHAFFER,2023-01-29,SCHAFFER,,,,,Sinagoga de Leiria
BITAGAP insid 8384,INSTITUTIONS*NAME_CLASS*U,Sinagoga de Coimbra,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 7063,,,,,,,,BITAGAP bibid 18727,,82,,,,,,,,,BITAGAP subid 1291,,,,,,,,2023-01-29,SCHAFFER,2024-05-12,SCHAFFER,,,,,Sinagoga de Coimbra
BITAGAP insid 8385,INSTITUTIONS*NAME_CLASS*U,Capela de Lourenço Martins de Avelar,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*20,INSTITUTIONS*RELATED_GEOCLASS*LASS,,BITAGAP geoid 6336,,,,,,,INSTITUTIONS*RELATED_INSCLASS*INR,,BITAGAP insid 5215,,,,,,,,BITAGAP bibid 22135,,,VINC001060,,,,,,BITAGAP bioid 7040,BITAGAP geoid 6336,BITAGAP subid 1555,,,,,,,,2023-01-30,ASKINS,2024-07-14,SCHAFFER,,,,,Capela de Lourenço Martins de Avelar
BITAGAP insid 8386,INSTITUTIONS*NAME_CLASS*U,Igreja de Santa Ana,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-30,ASKINS,2024-06-02,SCHAFFER,,,,,Ribalonga: Igreja de Santa Ana
BITAGAP insid 8387,INSTITUTIONS*NAME_CLASS*U,Concelho de Nozelos,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-31,ASKINS,2024-01-26,ASKINS,,,,,Concelho de Nozelos
BITAGAP insid 8388,INSTITUTIONS*NAME_CLASS*U,Concelho de Alenquer,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-12,ASKINS,2024-01-26,ASKINS,,,,,Concelho de Alenquer
BITAGAP insid 8389,INSTITUTIONS*NAME_CLASS*U,Concelho de Murça,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-26,ASKINS,2024-01-26,ASKINS,,,,,Concelho de Murça
BITAGAP insid 8390,INSTITUTIONS*NAME_CLASS*U,Concelho de São Lourenço de Ribapinhão,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CIVI,INSTITUTIONS*TYPE*16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-03,ASKINS,2024-01-22,ASKINS,,,,,Concelho de São Lourenço de Ribapinhão
BITAGAP insid 8391,INSTITUTIONS*NAME_CLASS*U,linhagem dos Castelo-Branco,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*PART,INSTITUTIONS*TYPE*25,,,,,,,,,,,,,,,,,,,,BITAGAP bibid 24119,,,,,,,,,,,,,,,,,,,2023-03-06,SHARRER,2024-01-26,ASKINS,,,,,linhagem dos Castelo-Branco
BITAGAP insid 8392,INSTITUTIONS*NAME_CLASS*U,Igreja de São Gil,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-08,ASKINS,2024-01-26,ASKINS,,,,,Freguesia de Campia (freguesia - paróquia civil): Igreja de São Gil
BITAGAP insid 8393,INSTITUTIONS*NAME_CLASS*U,Igreja de Vilar de Nantes,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*3,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 6428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-09,ASKINS,2024-01-26,ASKINS,,,,,Igreja de Vilar de Nantes
BITAGAP insid 8394,INSTITUTIONS*NAME_CLASS*U,Capela da Nossa Senhora da Vitória,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1360,,,,,INSTITUTIONS*CLASS*ECLESIÁSTICA,INSTITUTIONS*TYPE*20,INSTITUTIONS*RELATED_GEOCLASS*L,,BITAGAP geoid 1007,,,,,,,,,,,,,,,,,BITAGAP bibid 24126,,,,,,,,,,,BITAGAP subid 1555,,,,,,,,2023-03-10,ASKINS,2024-06-12,SCHAFFER,,,,,Coimbra: Capela da Nossa Senhora da Vitória
