PNUMBER,LABEL,LANG,TYPE
P196,Reasoning,en,wikibase-item
P197,,,
P198,,,
P199,,,
P200,Number of children,en,quantity
P201,Number of female children,en,quantity
P202,Number of male children,en,quantity
P203,Sibling(s),en,wikibase-item
P204,Extract,en,wikibase-item
P205,Answered with,en,wikibase-item
P206,Publisher,en,wikibase-item
P207,Printed by,en,wikibase-item
P208,Address,en,wikibase-item
P209,Regular meeting point,en,wikibase-item
P210,Hosted,en,wikibase-item
P211,Last professional status,en,wikibase-item
P212,Ethnic background,en,wikibase-item
P213,,en,wikibase-item
P214,Date of last will,en,time
P215,Aristocratic tenures,en,wikibase-item
P216,Place of detention,en,wikibase-item
P217,<Mistress>,en,wikibase-item
P218,Previous version,en,wikibase-item
P219,Next version,en,wikibase-item
P220,In his/her personal service,en,wikibase-item
P221,<Acquainted with>,en,wikibase-item
P222,Date of publication,en,time
P223,<Translation into English>,en,wikibase-item
P224,Agenda / Program,en,wikibase-item
P225,<Happened in the course of>,en,wikibase-item
P226,Stored in,en,wikibase-item
P227,<Godparent(s)>,en,wikibase-item
P228,<Biological father>,en,wikibase-item
P229,Provenance,en,wikibase-item
P230,Affair with,en,wikibase-item
P231,Met with,en,wikibase-item
P232,Institution(s) mentioned,en,wikibase-item
P233,Linking back to,en,wikibase-item
P234,Connection to preceding,en,wikibase-item
P235,Misleading attributions,en,wikibase-item
P236,Formatter URL,en,string
P237,Presented at,en,wikibase-item
P238,Presentation,en,wikibase-item
P239,Resident,en,wikibase-item
P240,Place of publication as (misleadingly) stated,en,wikibase-item
P241,Place of publication (without fictitious information),en,wikibase-item
P242,Events witnessed,en,wikibase-item
P243,Topic,en,wikibase-item
P244,Autobiography,en,wikibase-item
P245,<Unhappily loved by>,en,wikibase-item
P246,<Loved unhappily>,en,wikibase-item
P247,Surname,en,wikibase-item
P248,Given name(s),en,wikibase-item
P249,Sort by,en,wikibase-item
P250,Data download link,en,url
P251,FactGrid transcript,en,url
P252,Copy of this,en,wikibase-item
P253,Parallel tradition,en,wikibase-item
P254,Published in this publication,en,wikibase-item
P255,<Twitter presence>,en,url
P256,Things mentioned,en,wikibase-item
P257,Child raised,en,wikibase-item
P258,Raised by,en,wikibase-item
P259,Absent,en,wikibase-item
P260,,,
P261,FactGrid Collection of Information,en,url
P262,FactGrid merger candidate,en,wikibase-item
P263,State of work,en,wikibase-item
P264,Presented by,en,wikibase-item
P265,Closest equivalent,en,wikibase-item
P266,<offices held>,en,wikibase-item
P267,Organisational context,en,wikibase-item
P268,Initiated by,en,wikibase-item
P269,Proposed by,en,wikibase-item
P270,<Foster father>,en,wikibase-item
P271,<Foster mother>,en,wikibase-item
P272,<Foster child>,en,wikibase-item
P273,Commissioned by,en,wikibase-item
P274,Parish affiliation,en,wikibase-item
P275,Subscribers,en,wikibase-item
P276,Specific data set,en,wikibase-item
P277,Subject has role,en,wikibase-item
P278,Subscriptions signed,en,wikibase-item
P279,Number of pieces,en,quantity
P280,Economic use of the property,en,wikibase-item
P281,Building history,en,wikibase-item
P282,"<""Typ"">",en,string
P283,<GND test>,en,wikibase-item
P284,<GND test 2>,en,wikibase-item
P285,<Enemy of>,en,wikibase-item
P286,Geographical space covered,en,wikibase-item
P287,<GND test 3>,en,wikibase-item
P288,<GND test 4>,en,string
P289,<GND test5>,en,time
P290,First known date,en,time
P291,Last known date,en,time
P292,Publication interval,en,wikibase-item
P293,Members,en,wikibase-item
P294,Abbreviation,en,wikibase-item
P295,From,en,wikibase-item
P296,Stay in,en,wikibase-item
P297,Territorial affiliation,en,wikibase-item
P298,Translated,en,monolingualtext
P299,Holding this position,en,wikibase-item
P300,Follower of,en,wikibase-item
P301,See also,en,wikibase-item
P302,Catholic religious name,en,wikibase-item
P303,<Last confirmed date>,en,time
P304,Subject studied at university,en,wikibase-item
P305,Editor of,en,wikibase-item
P306,Quoting,en,wikibase-item
P307,Quantity,en,quantity
P308,Reviewing,en,wikibase-item
P309,FactGrid table of contents,en,url
P310,FactGrid list of Items designed for this property,en,url
P311,Text source,en,wikibase-item
P312,<Stepfather>,en,wikibase-item
P313,<Stepmother>,en,wikibase-item
P314,<Stepchild>,en,wikibase-item
P315,Employed at,en,wikibase-item
P316,Journey,en,wikibase-item
P317,Inventoried by,en,wikibase-item
P318,Bookbinding by,en,wikibase-item
P319,Parent organisation,en,wikibase-item
P320,FactGrid list of members,en,url
P321,Date of consecration/ ordination,en,time
P322,Privilege granted by,en,wikibase-item
P323,Next higher archival level,en,wikibase-item
P324,Contains documents of,en,wikibase-item
P325,,,
P326,,,
P327,Documented list of members,en,wikibase-item
P328,Represented by,en,wikibase-item
P329,Present holding,en,wikibase-item
P330,Apprenticeship,en,wikibase-item
P331,<patent>,en,url
P332,Layout of positions,en,wikibase-property
P333,Qualifying sub-properties,en,wikibase-property
P334,FactGrid Property to use instead,en,wikibase-property
P335,Daughter lodge(s),en,wikibase-item
P336,Mother lodge / Grand lodge,en,wikibase-item
P337,Main lodge,en,wikibase-item
P338,Founding members,en,wikibase-item
P339,occasion,en,wikibase-item
P340,Marriage witness,en,wikibase-item
P341,Pseudonym,en,wikibase-item
P342,Worshipful Master,en,wikibase-item
P343,Wikidata property,en,external-id
P344,Original research of,en,wikibase-item
P345,Inventory,en,wikibase-item
P346,PPN ID,en,external-id
P347,Cause of loss,en,wikibase-item
P348,Last holding archive of the lost object,en,wikibase-item
P349,Conference participations,en,wikibase-item
P350,Speaker(s),en,wikibase-item
P351,Research stay in,en,wikibase-item
P352,With manuscript notes by,en,wikibase-item
P353,Rosicrucian code name of,en,wikibase-item
P354,Rosicrucian code name,en,wikibase-item
P355,Seal,en,wikibase-item
P356,Next higher rank or degree,en,wikibase-item
P357,Degree system,en,wikibase-item
P358,Organisation open from here,en,wikibase-item
P359,Structural hierarchies implemented,en,wikibase-item
P360,Implemented by,en,wikibase-item
P361,Degrees worked,en,wikibase-item
P362,Constituted by,en,wikibase-item
P363,Strict Observance order name,en,wikibase-item
P364,Sample item,en,wikibase-item
P365,<Ritual(s)>,en,wikibase-item
P366,IdRef ID,en,external-id
P367,BnF ID,en,external-id
P368,VD16 ID,en,external-id
P369,VD17 ID,en,external-id
P370,VD18 ID,en,external-id
P371,Documented object,en,wikibase-item
P372,System,en,wikibase-item
P373,Catholic religious name of,en,wikibase-item
P374,Geni.com profile ID,en,external-id
P375,OCLC-ID,en,external-id
P376,WorldCat Registry ID,en,external-id
P377,Dictionary of Swedish National Biography ID,en,external-id
P378,VIAF ID,en,external-id
P379,Swedish portrait archive ID,en,external-id
P380,Post included,en,wikibase-item
P381,FactGrid property complaint,en,wikibase-item
P382,Specifications,en,wikibase-item
P383,,,
P384,Espacenet ID for patents,en,external-id
P385,Europeana Entity,en,external-id
P386,Mayor,en,wikibase-item
P387,Dissertation,en,wikibase-item
P388,Presiding the disputation,en,wikibase-item
P389,Respondent of the disputation,en,wikibase-item
P390,Opponent of the disputation,en,wikibase-item
P391,Dedicatee,en,wikibase-item
P392,Date of disputation,en,time
P393,Awarded by,en,wikibase-item
P394,Date of ennoblement,en,time
P395,Gold content (g),en,quantity
P396,Conversion rate(s),en,quantity
P397,Mass,en,quantity
P398,Duration,en,quantity
P399,Subunits,en,wikibase-item
P400,Plus,en,quantity
P401,Material composition,en,wikibase-item
P402,Percentage,en,quantity
P403,Silver content,en,quantity
P404,Length,en,quantity
P405,Fineness (/1000),en,quantity
P406,Number making a unit,en,quantity
P407,Matching,en,quantity
P408,ORCID ID,en,external-id
P409,Formed a set with,en,wikibase-item
P410,Signed by,en,wikibase-item
P411,Personal inspection by,en,wikibase-item
P412,Date of composition,en,time
P413,Exlibris,en,wikibase-item
P414,INSEE municipality code,en,external-id
P415,Guardian,en,wikibase-item
P416,Executor,en,wikibase-item
P417,Heir(ess),en,wikibase-item
P418,GeoNames ID,en,external-id
P419,Subsidiary,en,wikibase-item
P420,Subclass,en,wikibase-item
P421,Propagated views,en,wikibase-item
P422,Subject,en,wikibase-item
P423,Definition,en,monolingualtext
P424,Harmonia Universalis ID,en,external-id
P425,Precision of localisation,en,wikibase-item
P426,War deployment,en,wikibase-item
P427,* Matriculation number [string],en,string
P428,Next higher organisational level,en,wikibase-item
P429,Geographical coverage,en,wikibase-item
P430,Recognised by,en,wikibase-item
P431,affiliated Lodges,en,wikibase-item
P432,Date of finding,en,time
P433,X handle,en,external-id
P434,Associated place,en,wikibase-item
P435,<FactGrid document page>,en,external-id
P436,Merger with,en,wikibase-item
P437,Context,en,wikibase-item
P438,Online catalogue,en,url
P439,Archival collection,en,wikibase-item
P440,Example,en,wikibase-item
P441,Series integration,en,wikibase-item
P442,Type of event,en,wikibase-item
P443,Context event,en,wikibase-item
P444,Legal mandate(s),en,wikibase-item
P445,Role,en,wikibase-item
P446,Grant,en,wikibase-item
P447,Masonic degree,en,wikibase-item
P448,Representing,en,wikibase-item
P449,Partner organisations,en,wikibase-item
P450,Subproperty of,en,wikibase-property
P451,Subproperties,en,wikibase-property
P452,Field of engagement or work,en,wikibase-item
P453,Person signing responsible,en,wikibase-item
P454,Proposed to become a member of,en,wikibase-item
P455,Alleged member of,en,wikibase-item
P456,Immediate superior,en,wikibase-item
P457,Split-off,en,wikibase-item
P458,Split-off from,en,wikibase-item
P459,Date of retirement,en,time
P460,Language skills,en,wikibase-item
P461,Named after,en,wikibase-item
P462,Catholic Hierarchy ID,en,external-id
P463,Ecclesiastical province,en,wikibase-property
P464,In consequence of,en,wikibase-item
P465,Capital,en,wikibase-item
P466,Capital of,en,wikibase-item
P467,Precision of date,en,wikibase-item
P468,Negative search result,en,wikibase-item
P469,Collegiate church,en,wikibase-item
P470,Funeral speech by,en,wikibase-item
P471,Klosterdatenbank ID,en,external-id
P472,Germania Sacra database of persons ID,en,external-id
P473,Repertorium Germanicum ID,en,external-id
P474,Abbot,en,wikibase-item
P475,Brother-in-law,en,wikibase-item
P476,PhiloBiblon ID,en,external-id
P477,,,
P478,,,
P479,,,
P480,Writing surface,en,wikibase-item
P481,Page layout,en,wikibase-item
P482,Crime,en,wikibase-item
P483,Verdict,en,wikibase-item
P484,Depicted,en,wikibase-item
P485,Fellow student,en,wikibase-item
P486,Personal servant of,en,wikibase-item
P487,Military rank,en,wikibase-item
P488,Member of military unit,en,wikibase-item
P489,<Uncle>,en,wikibase-item
P490,<Nephew / Niece>,en,wikibase-item
P491,<Aunt>,en,wikibase-item
P492,Age at death,en,quantity
P493,Said to be the same as,en,wikibase-item
P494,Tribe,en,wikibase-item
P495,Extramarital relationship to procure a child,en,wikibase-item
P496,Data set wanting a statement on,en,wikibase-property
P497,Interested in,en,wikibase-item
P498,,,
P499,Position in sequence,en,quantity
P500,Data BnF ID,en,external-id
P501,Place of education,en,wikibase-item
P502,Complete Bible Genealogy-ID,en,external-id
P503,Registered / accepted by,en,wikibase-item
P504,Godfather of the confirmand,en,wikibase-item
P505,Cousin,en,wikibase-item
P506,Cause of end,en,wikibase-item
P507,Criminal record,en,wikibase-item
P508,Geoshape,en,geo-shape
P509,Time of day,en,string
P510,local time/ time zone,en,wikibase-item
P511,Contributor,en,wikibase-item
P512,Medically tended by,en,wikibase-item
P513,Patient(s),en,wikibase-item
P514,Not to be confused with,en,wikibase-item
P515,Purpose,en,wikibase-item
P516,Alternatively,en,wikibase-item
P517,RAG ID,en,external-id
P518,Technical realisation,en,wikibase-item
P519,IdRef,en,external-id
P520,Original note,en,string
P521,Rite,en,wikibase-item
P522,<Street or place of address>,en,wikibase-item
P523,Territory granting the indigenate,en,wikibase-item
P524,Installed by,en,wikibase-item
P525,Google Books ID,en,external-id
P526,MDZ ID,en,external-id
P527,Number of registered students,en,quantity
P528,Swedish urban area code,en,external-id
P529,Swedish small places ID,en,external-id
P530,Name with the Asiatic Brethren,en,wikibase-item
P531,Asiatic Brethren code name of,en,wikibase-item
P532,Events mentioned,en,wikibase-item
P533,Amburger database ID,en,external-id
P534,<place of detention>,en,wikibase-item
P535,TEI ID,en,external-id
P536,Date of artifact,en,time
P537,CERL Thesaurus ID,en,external-id
P538,Historical county,en,wikibase-item
P539,Composer,en,wikibase-item
P540,Work to be subscribed,en,wikibase-item
P541,"Recording, online information",en,url
P542,Number of sets ordered,en,quantity
P543,Segmentation,en,wikibase-item
P544,Publisher as misleadingly stated,en,wikibase-item
P545,Value / price,en,quantity
P546,1st carry,en,quantity
P547,2nd carry,en,quantity
P548,FactGrid property to state this,en,wikibase-property
P549,Yad Vashem name genealogy ID,en,external-id
P550,Subjected to,en,wikibase-item
P551,Date of premiere,en,time
P552,Architect,en,wikibase-item
P553,<Contribution>,en,wikibase-item
P554,Philosophical system,en,wikibase-item
P555,Legal basis,en,wikibase-item
P556,Wikimedia Commons image of grave or memorial,en,commonsMedia
P557,Intervened on behalf of,en,wikibase-item
P558,Reason for persecution,en,wikibase-item
P559,Delivered to,en,wikibase-item
P560,Status assignments,en,wikibase-item
P561,<Transparency of the author information>,en,wikibase-item
P562,<Transparency of the place of publication>,en,wikibase-item
P563,<Transparency of publication date>,en,wikibase-item
P564,<Transparency of publisher information>,en,wikibase-item
P565,Self-statement on historicity / fictionality,en,wikibase-item
P566,Place of action,en,wikibase-item
P567,Protagonist(s),en,wikibase-item
P568,Plot ingredient,en,wikibase-item
P569,Social sphere of events,en,wikibase-item
P570,Reception promises (literal),en,wikibase-item
P571,,en,wikibase-item
P572,Title aspects,en,wikibase-item
P573,Target group,en,wikibase-item
P574,Inter-textual allusions,en,wikibase-item
P575,Design features,en,wikibase-item
P576,Subject matter,en,wikibase-item
P577,Physical description,en,string
P578,Original publication,en,wikibase-item
P579,Actual statement,en,wikibase-item
P580,Escape / emigration to,en,wikibase-item
P581,Social status,en,wikibase-item
P582,Self-classification,en,wikibase-item
P583,Translator as misleadingly stated,en,wikibase-item
P584,<Transparency of translator information>,en,wikibase-item
P585,ESTC-ID,en,external-id
P586,Family,en,wikibase-item
P587,Designed to state,en,wikibase-item
P588,Religious or spiritual practice and experiences,en,wikibase-item
P589,Subject of investigation in the field of,en,wikibase-item
P590,Work presented here,en,wikibase-item
P591,Influenced by,en,wikibase-item
P592,Request FactGrid,en,url
P593,Request name,en,wikibase-item
P594,WorldCat Identities ID,en,external-id
P595,OCLC control number,en,external-id
P596,Online presentation,en,url
P597,Inverse label item,en,wikibase-item
P598,Best practice notice,en,monolingualtext
P599,Not noted in,en,wikibase-item
P600,Objects explored in this field of study,en,wikibase-item
P601,WIAG ID,en,external-id
P602,Excipit,en,string
P603,<Lived in the household of>,en,wikibase-item
P604,<Shared household with>,en,wikibase-item
P605,ISBN-10,en,external-id
P606,ISBN-13,en,external-id
P607,Favoured party,en,wikibase-item
P608,Field of knowledge,en,wikibase-item
P609,Customer of,en,wikibase-item
P610,Bossu ID,en,external-id
P611,Visual work components by,en,wikibase-item
P612,Date of fixation,en,time
P613,Number of integrated items,en,quantity
P614,Status of the (deceased) husband,en,wikibase-item
P615,Father's status,en,wikibase-item
P616,Country of citizenship,en,wikibase-item
P617,Citizen of,en,wikibase-item
P618,Discovered / invented / developed by,en,wikibase-item
P619,Naming of the title's central protagonist,en,wikibase-item
P620,i.e.,en,wikibase-item
P621,Level of qualification,en,wikibase-item
P622,Deutsche Biographie (GND) ID,en,external-id
P623,Ideological positioning,en,wikibase-item
P624,Getty Thesaurus of Geographic Names ID,en,external-id
P625,Predominant gender usage,en,wikibase-item
P626,Economic sector of the career statement,en,wikibase-item
P627,Property constraint,en,wikibase-item
P628,Relation constraint,en,wikibase-item
P629,Relative without exact statement,en,wikibase-item
P630,Opposite of,en,wikibase-item
P631,First documented in,en,wikibase-item
P632,<Digest in French>,en,string
P633,Disciple of,en,wikibase-item
P634,DOI,en,external-id
P635,Kalliope ID,en,external-id
P636,Wikimedia commons exemplary work,en,commonsMedia
P637,Eye colour,en,wikibase-item
P638,Voice type,en,wikibase-item
P639,Stature,en,wikibase-item
P640,Handedness,en,wikibase-item
P641,Blood type,en,wikibase-item
P642,Skin colour,en,wikibase-item
P643,Hair colour,en,wikibase-item
P644,Facial hair,en,wikibase-item
P645,ISTC-ID,en,external-id
P646,House numbering system,en,wikibase-item
P647,USTC editions ID,en,external-id
P648,Dataset,en,wikibase-item
P649,Contributor to,en,wikibase-item
P650,INE ID (Spain),en,external-id
P651,INE ID (Portugal),en,external-id
P652,BNE-ID,en,external-id
P653,Number of copies printed,en,quantity
P654,Number of copies extant,en,quantity
P655,RISM ID,en,external-id
P656,CTHS ID person,en,external-id
P657,Payment sender,en,wikibase-item
P658,Payment transactor,en,wikibase-item
P659,Payment recipient,en,wikibase-item
P660,Vergue ID,en,external-id
P661,Political orientation,en,wikibase-item
P662,,en,string
