PNUMBER,LABEL,LANG,TYPE
P795,Legislative term,en,wikibase-item
P796,Item for this sense,en,wikibase-item
P797,Object of procedure,en,wikibase-item
P798,Produces,en,wikibase-item
P799,Dataset status,en,wikibase-item
P800,Binding*,en,string
P801,Visual work component,en,wikibase-item
P802,Alternate shelfmark,en,string
P803,Registry number,en,string
P804,Inventory number,en,string
P805,Barcode,en,string
P806,Reference code,en,string
P807,PRELIB place ID,en,external-id
P808,Short label,en,monolingualtext
P809,PRELIB work ID,en,external-id
P810,PRELIB edition ID,en,external-id
P811,PRELIB archival document ID,en,external-id
P812,PRELIB periodical ID,en,external-id
P813,Sandrart.net person ID,en,external-id
P814,Geographic compatriotism,en,wikibase-item
P815,Synonym,en,wikibase-item
P816,SSNE person ID,en,external-id
P817,Notes,en,url
P818,Renewal date,en,time
P819,Software,en,wikibase-item
P820,Object has role,en,wikibase-item
P821,ISNI-ID,en,external-id
P822,ISO 639-1,en,external-id
P823,Stance towards object,en,wikibase-item
P824,Preceding Lexemes in stemma,en,wikibase-lexeme
P825,Self classification [Lexeme],en,wikibase-lexeme
P826,Wikidata lexeme,en,external-id
P827,WorldCat Title ID,en,external-id
P828,Transparency of the information provided,en,wikibase-item
P829,Transparency,en,wikibase-item
P830,Niedersächsische Personen ID,en,external-id
P831,Distant participation,en,wikibase-item
P832,Instrument,en,wikibase-item
P833,Made by,en,wikibase-item
P834,SI equivalent,en,quantity
P835,Defined equivalent,en,quantity
P836,Coin equivalents,en,quantity
P837,museum-digital:hessen people-ID,en,external-id
P838,Work version,en,wikibase-item
P839,Edition/ production/ model,en,wikibase-item
P840,Item,en,wikibase-item
P841,OpenStreetMap relation ID,en,external-id
P842,OpenStreetMap object,en,external-id
P843,FRBR entity class,en,wikibase-item
P844,Natural Law Database ID,en,external-id
P845,Creator,en,wikibase-item
P846,Telephone number,en,string
P847,Mastodon address,en,external-id
P848,Killed by,en,wikibase-item
P849,Database of Salon Artists person ID,en,external-id
P850,Reference source,en,wikibase-item
P851,Number of employees,en,quantity
P852,FactGrid project space,en,url
P853,Period,en,wikibase-item
P854,In the the reign / dynasty / time frame,en,wikibase-item
P855,Lobid-GND,en,external-id
P856,Check,en,wikibase-item
P857,Workplace,en,wikibase-property
P858,EPSG CRS,en,wikibase-property
P859,Scale (1:n),en,quantity
P860,,,
P861,Region,en,wikibase-item
P862,Legal form,en,wikibase-item
P863,Admission requirement / required membership,en,wikibase-item
P864,Exclusion criterion / incompatible with Membership in,en,wikibase-item
P865,Professional address,en,wikibase-item
P866,Minimum age,en,quantity
P867,Maximum age,en,quantity
P868,Normalization variant,en,wikibase-item
P869,Likelihood (percent),en,quantity
P870,ISO 3166-1 alpha-2 code,en,external-id
P871,ISO 3166-1 alpha-3 code,en,external-id
P872,ISO 3166-1 numeric code,en,external-id
P873,ISO 3166-2,en,external-id
P874,ISO 3166-3,en,external-id
P875,ISO 639-5,en,external-id
P876,ISO 639-2,en,external-id
P877,In words,en,monolingualtext
P878,GND network graph,en,external-id
P879,Subject paid,en,quantity
P880,Objekt paid,en,quantity
P881,Infrastructure,en,wikibase-item
P882,Deutsches Rechtswörterbuch,en,external-id
P883,Item count from,en,quantity
P884,Item count to,en,quantity
P885,<Series integration>,en,wikibase-item
P886,Apartment,en,wikibase-item
P887,Dataset link,en,url
P888,Female form of label,en,monolingualtext
P889,Male form of label,en,monolingualtext
P890,Motto,en,wikibase-item
P891,ICD-10,en,external-id
P892,In leading position of,en,wikibase-item
P893,"Jacob Grimm, Deutsches Wörterbuch",en,external-id
P894,Eckard Rolf class of functional text types,en,wikibase-item
P895,Appropriate clothing,en,wikibase-item
P896,,en,wikibase-property
P897,,en,wikibase-property
P898,External matching,en,wikibase-item
P899,Object properties,en,wikibase-property
P900,Completeness,en,wikibase-item
P901,Usability,en,wikibase-item
P902,Methodical Approach,en,wikibase-item
P903,Data format,en,wikibase-item
P904,OhdAB-ges ID,en,external-id
P905,OhdAB field of statement,en,wikibase-item
P906,OhdAB01 (Field of professions),en,wikibase-item
P907,OhdAB02 (Main group of professions),en,wikibase-item
P908,OhdAB03 (Group of professions),en,wikibase-item
P909,OhdAB04 (Subgroup of professions),en,wikibase-item
P910,OhdAB05 (Branch of professions),en,wikibase-item
P911,OhdAB06 (Level of expertise),en,wikibase-item
P912,Speech act qualities,en,wikibase-item
P913,,en,string
P914,OhdAB standard designation,en,monolingualtext
P915,HISCO-ID,en,external-id
P916,Bookbinding,en,wikibase-item
P917,second family name in Spanish name,en,wikibase-item
P918,<What is the basic functionality of this speech act/ type of text?>,en,wikibase-item
P919,<How is the speech act by and large supposed to reach its aim?>,en,wikibase-item
P920,<How exactly is the speech act supposed to reach its goal?>,en,wikibase-item
P921,<Preparatory condition of the speech act>,en,wikibase-item
P922,<How sincere is the speech act formulated?>,en,wikibase-item
P923,API endpoint URL,en,url
P924,Deutsche Digitale Bibliothek Item ID,en,external-id
P925,Under the rule of,en,wikibase-item
P926,Place of issue,en,wikibase-item
P927,Document attested by,en,wikibase-item
P928,Authenticity of the document confirmed by,en,wikibase-item
P929,Petitioner,en,wikibase-item
P930,Group listings / Engaged in,en,wikibase-item
P931,Latin Place Names ID,en,external-id
P932,BARTOC Vocabularies ID,en,external-id
P933,Year of the time frame,en,quantity
P934,Patronym or matronym for this person,en,wikibase-item
P935,Patrocinium,en,wikibase-item
P936,Object types,en,wikibase-item
P937,How to reference information,en,wikibase-item
P938,Use,en,wikibase-item
P939,Versioning,en,wikibase-item
P940,Technology,en,wikibase-item
P941,SPARQL endpoint URL,en,url
P942,Number of hierarchy levels,en,quantity
P943,Rent (per annum),en,quantity
P944,Tax (per annum),en,quantity
P945,Host,en,wikibase-item
P946,Pastor's database ID,en,external-id
P947,Webhosting,en,wikibase-item
P948,Ontology / data model,en,url
P949,Contact person,en,wikibase-item
P950,Cite as,en,monolingualtext
P951,Geomorphology,en,wikibase-item
P952,Origin of the watercourse,en,wikibase-item
P953,Mouth of the watercourse,en,wikibase-item
P954,Chemical formula,en,string
P955,Average,en,quantity
P956,Hydromorphology,en,wikibase-item
P957,Troop strength,en,quantity
P958,<>,en,wikibase-property
P959,BDTNS ID,en,external-id
P960,ORACC ID,en,external-id
P961,ÖSTAT number,en,external-id
P962,SIMC ID,en,external-id
P963,Czech municipality ID,en,external-id
P964,"Possible identification, link to external information",en,url
P965,Equivalent property elsewhere,en,url
P966,Equivalent class,en,url
P967,Weapons category,en,wikibase-item
P968,EU Knowledge Graph item ID,en,external-id
P969,Falk Regiment ID,en,external-id
P970,Name attribute,en,monolingualtext
P971,Arrivals,en,wikibase-item
P972,Departures,en,wikibase-item
P973,Weekday,en,wikibase-item
P974,Time of arrival,en,string
P975,Time of departure,en,string
