INSID,NAME_CLASS,NAME,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,CLASS,TYPE,RELATED_GEOCLASS,RELATED_GEODETAIL,RELATED_GEOID,RELATED_GEOIDQ,RELATED_GEOBD,RELATED_GEOBDQ,RELATED_GEOED,RELATED_GEOEDQ,RELATED_GEOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA insid 1375,INSTITUTIONS*NAME_CLASS*U,San Ginés de la Jara,,1200,ca.,,,{I}IGM{/I},INSTITUTIONS*MILESTONE_CLASS*F,,,,,1200,ca.,,,{I}DHEE{/I},INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSA,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1868,,,,,,{I}DHEE{/I},,,,,,,,,,,BETA bibid 1004,XI,46,5880,,,,,,,,,,,,,,Franciscano desde 1491 ({I}DHEE{/I}),,2003-11-17,DORN,2022-09-13,FAULHABER,,,,,Cartagena (diócesis): San Ginés de la Jara
BETA insid 1376,INSTITUTIONS*NAME_CLASS*U,Cofradía del Rosal,,,,,,BNE MSS/6539,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1500,ca. ad quem,,,BNE MSS/6539,INSTITUTIONS*CLASS*CONFRATERNITY,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTIONS*RELATED_MANCLASS*TRA,BETA manid 3276,,266v,,,,,,,,,,,,2005-03-16,FAULHABER,2014-10-08,FAULHABER,,,,,Cofradía del Rosal
BETA insid 1377,INSTITUTIONS*NAME_CLASS*U,Santa Leocadia de Toledo,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CHURCH,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-01,FAULHABER,2022-09-13,FAULHABER,,,,,Santa Leocadia de Toledo
BETA insid 1379,INSTITUTIONS*NAME_CLASS*U,Universidad Complutense. Biblioteca de la Facultad de Filosofía y Letras,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,INSTITUTIONS*TYPE*PUBL,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-02,FAULHABER,2022-11-29,FAULHABER,,,,,Madrid: Universidad Complutense. Biblioteca de la Facultad de Filosofía y Letras
BETA insid 1380,INSTITUTIONS*NAME_CLASS*U,Universidad Complutense. Biblioteca de la Facultad de Medicina,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*LIBRARY,INSTITUTIONS*TYPE*PUBL,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-02,FAULHABER,2022-09-09,FAULHABER,,,,,Madrid: Universidad Complutense. Biblioteca de la Facultad de Medicina
BETA insid 1381,INSTITUTIONS*NAME_CLASS*U,Marqueses de Villena,,,,,,{I}IGM{/I}: 9553 (h. 35r.-42r.),INSTITUTIONS*MILESTONE_CLASS*F,,,,,1386-10-23,,,,{I}IGM{/I}: 9553 (h. 35r.-42r.),INSTITUTIONS*CLASS*F,INSTITUTIONS*TYPE*PRIV,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1157,,,,,,{I}IGM{/I}: 9553 (h. 35r.-42r.),,,,,,,,,,,BETA bibid 1004,XIV,42,9553 (h. 35r.-42r.),,,,,,,,,,,,,,2023: Se ha suprimido bioid 4594 (marqueses de Villena) por ser duplicado de este registro institucional,,2006-02-16,SANZ,2024-06-10,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://es.wikipedia.org/wiki/Marquesado_de_Villena,Wikipedia,2024-06-10,Marqueses de Villena
BETA insid 1382,INSTITUTIONS*NAME_CLASS*U,Capuchinos de Málaga,,,,,,{I}IGM{/I} (XIV: 237),,,,,,,,,,,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OFMCAP,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-20,SANZ,2023-09-21,FAULHABER,,,,,Capuchinos de Málaga
BETA insid 1383,INSTITUTIONS*NAME_CLASS*U,Sancti Spiritu de Toro,,,,,,Conde 2003,INSTITUTIONS*MILESTONE_CLASS*F,,,,,1307,,,,Conde 2003,INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OP,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1284,,,,,,Conde 2003,,,,,,,,,,,BETA bibid 4463,,185,,,,,,,,,,,,,,,Monasterio feminino,,2006-04-01,FAULHABER,2022-09-13,FAULHABER,,,,,Sancti Spiritu de Toro
BETA insid 1384,INSTITUTIONS*NAME_CLASS*U,Colegio de Regina Angelorum,,,,,,,INSTITUTIONS*MILESTONE_CLASS*F,,,BETA geoid 1003,,1521,,,,,INSTITUTIONS*CLASS*COLLEGE,INSTITUTIONS*TYPE*OP,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-06,SANZ,2023-09-21,FAULHABER,,,,,Sevilla: Colegio de Regina Angelorum
BETA insid 1385,INSTITUTIONS*NAME_CLASS*U,Catedral,,,,,,,,,,,,,,,,,INSTITUTIONS*CLASS*CATHEDRAL,,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-14,FAULHABER,2023-09-21,FAULHABER,,,,,Cartagena: Catedral
BETA insid 1386,INSTITUTIONS*NAME_CLASS*U,Orden de Carmelitas Descalzos,,,,,,Wikipedia,,,,,,,,,,,INSTITUTIONS*CLASS*RELIGIOUSORDER,INSTITUTIONS*TYPE*OCAM,,,,,,,,,,,,,,,,,,,,BETA bibid 4572,,,,,,,,,,,,,,,,,,,2006-07-31,FAULHABER,2023-09-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://es.wikipedia.org/wiki/Orden_de_Carmelitas_Descalzos,Wikipedia,2014-07-23,Orden de Carmelitas Descalzos
BETA insid 1387,INSTITUTIONS*NAME_CLASS*U,Santa María,,,,,,{I}DHEE{/I},INSTITUTIONS*MILESTONE_CLASS*F,,,,,1404,,,,{I}DHEE{/I},INSTITUTIONS*CLASS*MONASTERY,INSTITUTIONS*TYPE*OSH,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 2109,,1404,,,,{I}DHEE{/I},,,,,,,,,,,BETA bibid 1936,III,1568a,ç.III.4,,,,,,,,,,,,,,,,2006-07-31,FAULHABER,2023-09-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.fresdelval.com/,Monasterio de Fres del Val,2014-04-17,Fresdelval (monasterio / convento): Santa María
BETA insid 1388,INSTITUTIONS*NAME_CLASS*U,J[acques] Techener,,1855,ad quem,1870.0,,,,,,,,,,,,,INSTITUTIONS*CLASS*BOOKDEALER,INSTITUTIONS*TYPE*PRIV,INSTITUTIONS*RELATED_GEOCLASS*L,,BETA geoid 1001,,,,,,WorldCat,,,,,,,,,,INSTITUTIONS*RELATED_BIBCLASS*CAT,BETA bibid 3869,,,Q396110,,,,,,,,,,,,,,,,2006-08-01,FAULHABER,2023-09-21,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://database.factgrid.de/wiki/Item:Q396110,FactGrid,2023-05-14,Paris: J[acques] Techener
