BIBID,TITLE,VOLUMES,CREATOR_ROLE,CREATOR_FNAME,CREATOR_LNAME,CREATOR_CNAME,SOURCE,SIGLUM,ADJUNCT_ROLE,ADJUNCT_FNAME,ADJUNCT_LNAME,ADJUNCT_CNAME,SERIES,PUBLISHER,PUBLISHER_LOC,PUBLISHED_BD,PUBLISHED_ED,PUBLISHED_NOTE,VOLUME,ISSUE_EDITION,LOCATION_CLASS,LOCATION,REPRINT,ID_CLASS,ID_NUMBER,CLASS,FORM,TYPE,MEDIUM,FORMAT,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNO,RELATED_LIBBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Date?)
15,Inspección personal,2,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,R. Brian,Tate,Biblioteca Nacional de España,Scriptorium,RHi,BIBLIOGRAPHY*ADJUNCT_ROLE*EDIT,Ian,Macpherson,Asociación Internacional de Hispanistas Congreso,"Bibliographic Series, 3",Hispanic Seminary of Medieval Studies,Madison,1982,1929,1977 ad quem,17,2a,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,"CCVIII, 853","reimpresión de la ed. de 1906, con un estudio ampliado",BIBLIOGRAPHY*ID_CLASS*ISBN,8450562473,BIBLIOGRAPHY*CLASS*PART,BIBLIOGRAPHY*FORM*PERS,BIBLIOGRAPHY*TYPE*REFR,BIBLIOGRAPHY*MEDIUM*PRNT,European PAL,BETA libid 387,,Main,143-III-15-17,OskiCat,BIBLIOGRAPHY*RELATED_BIBCLASS*FAD,BETA bibid 8702,I-II,335,143-III-15-17	,BETA bioid 2578,BETA geoid 2166,BETA insid 1218,BETA subid 1266,1347.0,,1406.0,,,2 vols. en 1,loc,BIBLIOGRAPHY*STATUS*1C,1985-07-10,FAULHABER,2023-08-27,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://rbme.patrimonionacional.es/getdoc/73de8ed7-6cfd-470c-bc63-5010587528af/Catalogo-de-Ms--CASTELLANOS-I--PROLOGO----J--Zarco.aspx,RBME Cat.,2011-08-11,"Tate (1977 ad quem), Inspección personal"
