SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA subid 1021,Panegírico - Loor,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Panegíric,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1250,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Panegírico - Loor
BETA subid 1022,Planto,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Plany,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,309.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Planto
BETA subid 1023,Retórica,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Retòrica,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,"LC: “Here are entered advanced level works on the skillful or artistic organization of oral or written discourse, usually for exposition or persuasion’.’",,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Retórica
BETA subid 1024,Poética,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Poètica,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,BETA subid 1234,,,BETA bibid 2749,,12.0,,,,,,,LC: ‘Here [under Poetry] are entered general works on poetry and works limited to the philosophy of poetry. Works discussing collectively the technique and philosophy of poetry and works limited to the technique of poetry are entered under Poetics”,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Poética
BETA subid 1025,Romance,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Romanç,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Romance
BETA subid 1026,Romances poéticos,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Romancero,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Romances poéticos
BETA subid 1027,Sátira,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Sàtira,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2024-04-15,FAULHABER,,,,,Sátira
BETA subid 1028,Teatro,,,,{I}Cronología{/I},Teatre,SUBJECT*HV_CLASS*CAT,,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,"LC: “Here [under DRAMA] are entered works on drama as a literary form. Works on drama as acted on the stage are entered under THEATER.”<br /><br />No sé si hace la misma distinción entre TEATRE y DRAMA en catalán o entre TEATRO y DRAMA en castellano. De todas maneras se pueden dividir si se cree necesario.<br />",,2008-04-30,FAULHABER,2024-05-08,FAULHABER,,,,,Teatro
BETA subid 1029,Tratados,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Tractats,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Tratados
BETA subid 1030,Viajes,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Viatges,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,12.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Viajes
BETA subid 1031,Artúrico,SUBJECT*HM_CLASS*LITERARYMOVEMENT,,,{I}Cronología{/I},Artúric,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,13.0,,,,,,,,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Artúrico
BETA subid 1032,Poesía cancioneril,SUBJECT*HM_CLASS*LITERARYMOVEMENT,,,{I}Cronología{/I},Cancioneril (movimiento poético),SUBJECT*HV_CLASS*SPANISH,,,,,,,,,BETA bibid 2749,,13.0,,,,,,,,,2008-04-30,FAULHABER,2016-01-07,FAULHABER,,,,,Poesía cancioneril
BETA subid 1033,Clerecía,SUBJECT*HM_CLASS*LITERARYMOVEMENT,,,{I}Cronología{/I},Clerecia,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,13.0,,,,,,,,,2008-04-30,FAULHABER,2012-01-12,App Service - MCR,,,,,Clerecía
BETA subid 1034,Juglaría,SUBJECT*HM_CLASS*LITERARYMOVEMENT,,,{I}Cronología{/I},Juglaría,SUBJECT*HV_CLASS*SPANISH,,,,,,,,,BETA bibid 2749,,13.0,,,,,,,,,2008-04-30,FAULHABER,2012-01-12,App Service - MCR,,,,,Juglaría
BETA subid 1035,Mariología,,,,{I}Cronología{/I},Mariologia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1058,,BETA subid 1066,,,BETA bibid 2749,,323.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Mariología
BETA subid 1036,Prehumanismo,SUBJECT*HM_CLASS*LITERARYMOVEMENT,,,{I}Cronología{/I},Prehumanisme,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,13.0,,,,,,,,,2008-04-30,FAULHABER,2015-08-23,FAULHABER,,,,,Prehumanismo
BETA subid 1037,Humanismo,SUBJECT*HM_CLASS*LITERARYMOVEMENT,,,{I}Cronología{/I},Humanisme,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,13.0,,,,,,,,,2008-04-29,FAULHABER,2015-08-23,FAULHABER,,,,,Humanismo
BETA subid 1038,Anales,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Annals,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1017,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2012-01-12,App Service - MCR,,,,,Anales
BETA subid 1039,Himnos,SUBJECT*HM_CLASS*GENRE,,,,Himnos,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1040,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Himnos
BETA subid 1040,Música,,SUBJECT*HM_TYPE*MARC,,LC,Música,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-30,FAULHABER,2011-12-01,FAULHABER,,,,,Música
BETA subid 1041,Judíos,,,,,Jueus,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Judíos
BETA subid 1042,Conversos,,,,,Conversos,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Conversos
BETA subid 1043,Consolatoria,SUBJECT*HM_CLASS*GENRE,,,,Consolación,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Consolatoria
BETA subid 1044,Cristología,,SUBJECT*HM_TYPE*MARC,,LC,cristología,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1080,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Cristología
BETA subid 1045,Medicina,,,,,Medicina,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-01,FAULHABER,,,,,Medicina
