SUBID,HEADING_MAIN,HM_CLASS,HM_TYPE,HM_FIELD,HM_BASIS,HEADING_VARIANT,HV_CLASS,HV_TYPE,HV_FIELD,HV_BASIS,HB_SUBID,HB_BASIS,HR_SUBID,HR_BASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA subid 1092,Juegos - Lúdico,,,,{I}Cronología{/I},Jocs,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,1994-09-01,FAULHABER,2012-01-12,App Service - MCR,,,,,Juegos - Lúdico
BETA subid 1093,Pastoril,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Pastoral,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,124.0,436,,,,,,,,1994-09-01,FAULHABER,2015-08-23,FAULHABER,,,,,Pastoril
BETA subid 1094,Islam,,,,{I}Cronología{/I},Islam,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1058,,,,,BETA bibid 2749,,138.0,514,,,,,,,,1994-09-02,FAULHABER,2015-08-23,FAULHABER,,,,,Islam
BETA subid 1096,Momos,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Momos,SUBJECT*HV_CLASS*CAT,,,,,,,,,BETA bibid 2749,,124.0,439,,,,,,,,1994-09-27,FAULHABER,2015-08-23,FAULHABER,,,,,Momos
BETA subid 1097,Ficción,SUBJECT*HM_CLASS*GENRE,,,{I}Cronología{/I},Ficció,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,BETA bibid 2749,,292.0,,,,,,,,,1994-09-27,FAULHABER,2015-08-23,FAULHABER,,,,,Ficción
BETA subid 1098,Fueros - estatutos municipales,,,,,Fueros,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1100,,BETA subid 1245,,,,,,,,,,,,,,1994-11-12,FAULHABER,2019-08-10,FAULHABER,,,,,Fueros - estatutos municipales
BETA subid 1099,Códigos legales,,,,,Codis legals,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1994-11-12,FAULHABER,2011-12-02,FAULHABER,,,,,Códigos legales
BETA subid 1100,Derecho,,,,,Dret,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,"LC: “Here are entered general works on law or legal systems as well as collections of statutes not limited to a specific topic. Works on the science of law are entered |a Jurisprudence. |i Works on legislative enactments as a source of law, as distinct from constitutional law or from the law arising from judicial or administrative decisions are entered under |a Statutes. |i Works on the legislative process are entered under |a Legislation. |i Works on the interpretation of statutes and other laws are entered under |a Law--Interpretation and construction.”",,1994-11-12,FAULHABER,2011-12-02,FAULHABER,,,,,Derecho
BETA subid 1101,Cartel de desafío,,,,,Lletra de batalla,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1011,,,,,,,,,,,,,,,,1994-11-12,FAULHABER,2011-12-02,FAULHABER,,,,,Cartel de desafío
BETA subid 1102,Derecho militar,,,,,Dret militar,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1100,,BETA subid 1051,,,,,,,,,,,,,,1994-11-12,FAULHABER,2011-12-02,FAULHABER,,,,,Derecho militar
BETA subid 1103,Derecho marítimo,,,,,Dret marítim,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1100,,,,,,,,,,,,,,,,1995-03-05,FAULHABER,2011-12-02,FAULHABER,,,,,Derecho marítimo
BETA subid 1104,"Caspe, compromiso de (1412)",,,,Faulhaber,"Caspe, Compromís de",SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1997-02-27,FAULHABER,2011-12-10,FAULHABER,,,,,"Caspe, compromiso de (1412)"
BETA subid 1105,Aritmética,,,,,Aritmética,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1106,,,,,,,,,,,,,,,,1997-09-02,FAULHABER,2011-12-02,FAULHABER,,,,,Aritmética
BETA subid 1106,Matemáticas,,,,,Matemáticas,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,1997-09-02,FAULHABER,2011-12-02,FAULHABER,,,,,Matemáticas
BETA subid 1107,Bibliografía,SUBJECT*HM_CLASS*GENRE,,,,Bibliografia,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1997-09-03,FAULHABER,2011-12-02,FAULHABER,,,,,Bibliografía
BETA subid 1108,Literatura española 1500-1600,SUBJECT*HM_CLASS*GENRE,,,,Literatura espanyola 1500-1600,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1250,,,,,,,,,,,,,,,,1997-10-13,FAULHABER,2011-12-04,FAULHABER,,,,,Literatura española 1500-1600
BETA subid 1109,Incunables,,,,,Incunables,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,1998-05-18,FAULHABER,2015-11-15,FAULHABER,,,,,Incunables
BETA subid 1110,Oraciones,,,,Faulhaber,Pregàries,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,Faulhaber,,,,,,,,,,,,,,,1998-10-03,FAULHABER,2011-12-02,FAULHABER,,,,,Oraciones
BETA subid 1111,Lógica,,,,,Lògica,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1089,Faulhaber,,,,,,,,,,,,,,,1999-07-05,FAULHABER,2011-12-03,FAULHABER,,,,,Lógica
BETA subid 1112,Obras devocionales,,,,Faulhaber,Obres devocionals,SUBJECT*HV_CLASS*CAT,,,Faulhaber,BETA subid 1058,,,,,,,,,,,,,,,,1999-11-23,FAULHABER,2011-12-03,FAULHABER,,,,,Obras devocionales
BETA subid 1113,Espiritualidad,,,,Faulhaber,Espiritualitat,SUBJECT*HV_CLASS*CAT,,,Faulhaber,BETA subid 1058,,,,,,,,,,,,,,,,1999-11-23,FAULHABER,2011-12-03,FAULHABER,,,,,Espiritualidad
BETA subid 1114,Escatología,,,,,Escatologia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,,,,,,,,,,,,,,,,2000-02-19,FAULHABER,2011-12-03,FAULHABER,,,,,Escatología
BETA subid 1115,Confesión,,,,,Confesió,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,Faulhaber,BETA subid 1115,Faulhaber,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Confesión
BETA subid 1116,Penitencia,,,,Faulhaber,Penitència,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,Faulhaber,BETA subid 1115,Faulhaber,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Penitencia
BETA subid 1117,Sacramento,,,,Faulhaber,Sagrament,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,Faulhaber,BETA subid 1116,,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Sacramento
BETA subid 1118,Unción,,,,Faulhaber,Unció,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,Faulhaber,BETA subid 1117,Faulhaber,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Unción
BETA subid 1119,Eucaristía,,,,Faulhaber,Eucaristia,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,Faulhaber,BETA subid 1117,Faulhaber,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Eucaristía
BETA subid 1120,Muerte,,,,Faulhaber,Mort,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Muerte
BETA subid 1121,Calendario,,,,Faulhaber,Calendari,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2000-02-26,FAULHABER,2011-12-03,FAULHABER,,,,,Calendario
BETA subid 1122,Paleografía,,,,,Paleografia,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2000-02-28,FAULHABER,2011-12-03,FAULHABER,,,,,Paleografía
BETA subid 1123,Codicología,,,,Faulhaber,Codicologia,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2000-02-28,FAULHABER,2011-12-03,FAULHABER,,,,,Codicología
BETA subid 1124,Herejía,,,,Faulhaber,Heretgia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1058,Faulhaber,,,,,,,,,,,,,,,2000-03-04,FAULHABER,2011-12-03,FAULHABER,,,,,Herejía
BETA subid 1125,"Ponza, batalla de (1435)",SUBJECT*HM_CLASS*EVENT,,,Faulhaber,"Ponza, batalla de",SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2000-03-05,FAULHABER,2011-12-10,FAULHABER,,,,,"Ponza, batalla de (1435)"
BETA subid 1126,Basilea - concilio de,SUBJECT*HM_CLASS*EVENT,,,Faulhaber,"Basilea, concilio de",SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2000-03-05,FAULHABER,2015-09-27,FAULHABER,,,,,Basilea - concilio de
BETA subid 1127,Órdenes militares,,,,Faulhaber,Ordes militars,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2000-11-08,FAULHABER,2011-12-03,FAULHABER,,,,,Órdenes militares
BETA subid 1128,Sagrada Escritura,,,,Faulhaber,Sagrada Escritura,SUBJECT*HV_CLASS*SPANISH,,,Faulhaber,,,,,,,,,,,,,,,,,2001-02-23,FAULHABER,2011-12-03,FAULHABER,,,,,Sagrada Escritura
BETA subid 1129,Sanidad pública,,,,,Sanitat pública,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1045,,,,,,,,,,,,,,,,2001-02-28,PELAYO,2011-12-03,FAULHABER,,,,,Sanidad pública
BETA subid 1130,Peste,,,,,Peste,SUBJECT*HV_CLASS*SPANISH,,,,BETA subid 1045,,,,,,,,,,,,,,,,2001-02-28,PELAYO,2011-12-03,FAULHABER,,,,,Peste
BETA subid 1131,Anticristo,,,,,Anticrist,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1058,,,,,,,,,,,,,,,,2002-07-26,CORTIJO2,2011-12-03,FAULHABER,,,,,Anticristo
BETA subid 1132,Literatura sapiencial,SUBJECT*HM_CLASS*GENRE,,,,Literatura sapiencial,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1250,,,,,,,,,,,,,,,,2002-07-26,PEREA,2011-12-04,FAULHABER,,,,,Literatura sapiencial
BETA subid 1133,Cruzada,,,,,Croada,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2003-04-11,PARK,2011-12-03,FAULHABER,,,,,Cruzada
BETA subid 1134,Refranes y proverbios,SUBJECT*HM_CLASS*GENRE,,,BNE,Refrans i proverbis,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2006-06-28,PEREA,2011-12-03,FAULHABER,,,,,Refranes y proverbios
BETA subid 1135,Alquimia,,SUBJECT*HM_TYPE*MARC,,LC,Alquímia,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2006-07-28,PEREA,2011-12-03,FAULHABER,,,,,Alquimia
BETA subid 1136,Musulmanes - Moros,,,,Faulhaber,Moros,SUBJECT*HV_CLASS*CAT,,,Faulhaber,,,BETA subid 1060,,,,,,,,,,,,,,2007-02-25,FAULHABER,2011-12-03,FAULHABER,,,,,Musulmanes - Moros
BETA subid 1137,Derecho administrativo,,,,Faulhaber,Derecho administrativo,SUBJECT*HV_CLASS*SPANISH,,,Faulhaber,BETA subid 1100,,,,,,,,,,,,,,,,2007-02-25,FAULHABER,2011-12-03,FAULHABER,,,,,Derecho administrativo
BETA subid 1138,Judaísmo,,SUBJECT*HM_TYPE*MARC,,LC,Judaísmo,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1058,,,,,,,,,,,,,,,,2007-03-24,FAULHABER,2011-12-03,FAULHABER,,,,,Judaísmo
BETA subid 1139,Juego,,,,,Joc,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2008-02-01,FAULHABER,2011-12-03,FAULHABER,,,,,Juego
BETA subid 1140,Política monetaria,,,,Faulhaber,Política monetària,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-08,FAULHABER,2011-12-03,FAULHABER,,,,,Política monetaria
BETA subid 1141,Cancillería,,,,Faulhaber,Cancillería,SUBJECT*HV_CLASS*SPANISH,,,Faulhaber,,,,,,,,,,,,,,,,,2008-02-08,FAULHABER,2011-12-03,FAULHABER,,,,,Cancillería
BETA subid 1142,Política fiscal,,,,Faulhaber,Política fiscal,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-08,FAULHABER,2011-12-03,FAULHABER,,,,,Política fiscal
BETA subid 1143,Marina,,,,Faulhaber,Marina,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-09,FAULHABER,2011-12-03,FAULHABER,,,,,Marina
BETA subid 1144,Controles sobre la exportación,,,,,Controls sobre l’exportació,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-05-01,FAULHABER,2011-12-10,FAULHABER,,,,,Controles sobre la exportación
BETA subid 1145,Casa real,,,,,Casa reial,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-09,FAULHABER,2011-12-03,FAULHABER,,,,,Casa real
BETA subid 1146,Ganado,,,,Faulhaber,Livestock,SUBJECT*HV_CLASS*ENGLISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-13,FAULHABER,2011-12-03,FAULHABER,,,,,Ganado
BETA subid 1147,Caballos,,,,Faulhaber,Cavalls,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1146,Faulhaber,,,,,,,,,,,,,,,2008-02-13,FAULHABER,2011-12-03,FAULHABER,,,,,Caballos
BETA subid 1148,Mulas,,,,Faulhaber,Mulas,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,Faulhaber,BETA subid 1146,Faulhaber,,,,,,,,,,,,,,,2008-02-13,FAULHABER,2014-02-05,FAULHABER,,,,,Mulas
BETA subid 1149,Usura,,,,Faulhaber,Usura,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,Faulhaber,BETA subid 1193,,,,,,,,,,,,,,,,2008-02-13,FAULHABER,2011-12-03,FAULHABER,,,,,Usura
BETA subid 1150,Rentas - arrendamiento de,,,,Faulhaber,"Taxes, farming of",SUBJECT*HV_CLASS*ENGLISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-13,FAULHABER,2011-12-10,FAULHABER,,,,,Rentas - arrendamiento de
BETA subid 1151,Caballería,,,,Faulhaber,Cavalleria,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2008-02-14,FAULHABER,2011-12-03,FAULHABER,,,,,Caballería
BETA subid 1152,Luto,,,,Faulhaber,Dol,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-14,FAULHABER,2011-12-03,FAULHABER,,,,,Luto
BETA subid 1153,Impuestos,,,,Faulhaber,Impostos,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-14,FAULHABER,2011-12-03,FAULHABER,,,,,Impuestos
BETA subid 1154,Derecho procesal,,,,,Dret processal,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-14,FAULHABER,2011-12-03,FAULHABER,,,,,Derecho procesal
BETA subid 1155,Penas - multas,,,,Faulhaber,Penes,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-02-22,FAULHABER,2011-12-03,FAULHABER,,,,,Penas - multas
BETA subid 1156,Fisco real,,,,Faulhaber,Fisc reial,SUBJECT*HV_CLASS*CAT,,,Faulhaber,,,,,,,,,,,,,,,,,2008-03-27,FAULHABER,2011-12-03,FAULHABER,,,,,Fisco real
BETA subid 1158,Corrupción,,,,Faulhaber,corrupción,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,Faulhaber,,,,,,,,,,,,,,,,,2008-03-27,FAULHABER,2011-12-03,FAULHABER,,,,,Corrupción
BETA subid 1159,Desafíos - Retos,,,,Faulhaber,Desafíos,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,Faulhaber,,,,,,,,,,,,,,,,,2008-04-10,FAULHABER,2011-12-03,FAULHABER,,,,,Desafíos - Retos
BETA subid 1160,Vasallaje,,,,Faulhaber,Vassallatge,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2011-12-03,FAULHABER,,,,,,,Vasallaje
BETA subid 1161,Ajedrez,,,,Faulhaber,Escacs,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-12,FAULHABER,2011-12-03,FAULHABER,,,,,Ajedrez
BETA subid 1162,Avicultura,,,,,Avicultura,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1053,Faulhaber,,,,,,,,,,,,,,,2008-04-18,FAULHABER,2011-12-03,FAULHABER,,,,,Avicultura
BETA subid 1163,Palomas - Pichones,,SUBJECT*HM_TYPE*MARC,,LC,Coloms,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,Faulhaber,BETA subid 1162,Faulhaber,,,,,,,,,,,,,,,2008-04-18,FAULHABER,2011-12-03,FAULHABER,,,,,Palomas - Pichones
BETA subid 1164,Palomares,,,,,Pigeons -- Housing,SUBJECT*HV_CLASS*ENGLISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1162,Faulhaber,,,,,,,,,,,,,,,2008-04-18,FAULHABER,2011-12-03,FAULHABER,,,,,Palomares
BETA subid 1165,Amor,,,,,Amor,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Amor
BETA subid 1166,Angeología,,,,Faulhaber,Angeologia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Angeología
BETA subid 1167,Apologías,,,,,Apologies,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,LC: “Here are entered collections of apologies”,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Apologías
BETA subid 1168,Asociaciones,,,,Faulhaber,Associacions,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Asociaciones
BETA subid 1169,Asociaciones públicas - Hermandades,,,,Faulhaber,Associacions públics,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1168,LC,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Asociaciones públicas - Hermandades
BETA subid 1170,Asociaciones privadas,,,,,Asociaciones privadas,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1168,LC,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Asociaciones privadas
BETA subid 1171,Asociaciones locales,,,,,Asociaciones locales,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1168,LC,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Asociaciones locales
BETA subid 1172,Árabes,,,,,Árabes,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Árabes
BETA subid 1173,Bestiarios,SUBJECT*HM_CLASS*GENRE,,,,Bestiaris,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Bestiarios
BETA subid 1174,Bibliología,,,,,Bibliología,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1073,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Bibliología
BETA subid 1175,Biblia. Apócrifa y libros apócrifos,,,,,Biblia. Apócrifos,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1073,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Biblia. Apócrifa y libros apócrifos
BETA subid 1176,Biblia. Antiguo Testamento. Salmos,,,,,Bíblia. Vell Testament. Saltiri,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1073,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2012-05-22,FAULHABER,,,,,Biblia. Antiguo Testamento. Salmos
BETA subid 1177,Cábala,,,,,Cábala,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Cábala
BETA subid 1178,Mapas y cartografía - Planos,,SUBJECT*HM_TYPE*MARC,,LC,Mapes i cartografia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1091,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Mapas y cartografía - Planos
BETA subid 1179,Ceremonial - Ritos y ceremonías,,SUBJECT*HM_TYPE*MARC,,LC,Ceremonial,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Ceremonial - Ritos y ceremonías
BETA subid 1180,Clima,,,,,Clima,SUBJECT*HV_CLASS*CAT,,,,BETA subid 1091,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Clima
BETA subid 1181,Comentarios,,,,,Comentaris,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Comentarios
BETA subid 1182,Comercio - Negocio,,SUBJECT*HM_TYPE*MARC,,LC,Comercio,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,"LC: “Here are entered works on trade, both foreign and domestic”",,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Comercio - Negocio
BETA subid 1183,Contabilidad,,,,,Comptabilitat,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Contabilidad
BETA subid 1184,Etiqueta,,,,,Etiqueta,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1185,LC,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Etiqueta
BETA subid 1185,Cortesía,,,,,Cortesía,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Cortesía
BETA subid 1186,Cortes,,,,,Corts,SUBJECT*HV_CLASS*CAT,,,,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Cortes
BETA subid 1187,Cosmética - Perfumes,,SUBJECT*HM_TYPE*MARC,,LC,Cosmética,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Cosmética - Perfumes
BETA subid 1188,Cronología,,SUBJECT*HM_TYPE*MARC,,LC,Cronologia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Cronología
BETA subid 1189,Diplomacia,,,,,Diplomacia,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1253,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-04,FAULHABER,,,,,Diplomacia
BETA subid 1190,Mujeres,,SUBJECT*HM_TYPE*MARC,,LC,Mujeres,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Mujeres
BETA subid 1191,Droguería - Materia médica,,,,,Droguería,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1045,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Droguería - Materia médica
BETA subid 1192,Recetas medicinales,,,,,Recetes medicinales,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1045,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2013-04-28,FAULHABER,,,,,Recetas medicinales
BETA subid 1193,Economía,,,,,Economia,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Economía
BETA subid 1194,Economía doméstica,,,,,Economía doméstica,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,BETA subid 1193,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Economía doméstica
BETA subid 1195,Ensenánza,,,,,Ensenãnza,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Ensenánza
BETA subid 1196,Esclavos - Esclavitud,,SUBJECT*HM_TYPE*MARC,,LC,Esclavos,SUBJECT*HV_CLASS*SPANISH,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Esclavos - Esclavitud
BETA subid 1198,Iglesia Católica,,SUBJECT*HM_TYPE*MARC,,LC,Església Catòlica,SUBJECT*HV_CLASS*CAT,SUBJECT*HV_TYPE*MARC,,LC,,,,,,,,,,,,,,,,,2008-04-29,FAULHABER,2011-12-03,FAULHABER,,,,,Iglesia Católica
