FG ID,Lpt,Apt
https://database.factgrid.de/entity/Q358163,Calheta,BITAGAP geoid 1259
https://database.factgrid.de/entity/Q360557,Tavira,BITAGAP geoid 1265
https://database.factgrid.de/entity/Q359618,Penamacor,BITAGAP geoid 1266
https://database.factgrid.de/entity/Q359405,Nisa,BITAGAP geoid 1267
https://database.factgrid.de/entity/Q359441,Óbidos,BITAGAP geoid 1271
https://database.factgrid.de/entity/Q358991,Lagoa,BITAGAP geoid 1324
https://database.factgrid.de/entity/Q360126,Santa Marta de Penaguião,BITAGAP geoid 1326
https://database.factgrid.de/entity/Q358808,Fronteira,BITAGAP geoid 1330
https://database.factgrid.de/entity/Q359150,Maia,BITAGAP geoid 1332
https://database.factgrid.de/entity/Q359365,Moura,BITAGAP geoid 1340
https://database.factgrid.de/entity/Q360509,Sousel,BITAGAP geoid 1345
https://database.factgrid.de/entity/Q357923,Avis,BITAGAP geoid 1346
https://database.factgrid.de/entity/Q359334,Montemor-o-Velho,BITAGAP geoid 1347
https://database.factgrid.de/entity/Q357617,Albufeira,BITAGAP geoid 1351
https://database.factgrid.de/entity/Q359332,Montemor-o-Novo,BITAGAP geoid 1352
https://database.factgrid.de/entity/Q358350,Castro Daire,BITAGAP geoid 1353
https://database.factgrid.de/entity/Q358066,Bombarral,BITAGAP geoid 1354
https://database.factgrid.de/entity/Q360029,Salvaterra de Magos,BITAGAP geoid 1357
https://database.factgrid.de/entity/Q360375,Sardoal,BITAGAP geoid 1358
https://database.factgrid.de/entity/Q357670,Alenquer,BITAGAP geoid 1359
https://database.factgrid.de/entity/Q357704,Almada,BITAGAP geoid 1360
https://database.factgrid.de/entity/Q357881,Arruda dos Vinhos,BITAGAP geoid 1368
https://database.factgrid.de/entity/Q358995,Lagos,BITAGAP geoid 1379
https://database.factgrid.de/entity/Q360793,Viana do Alentejo,BITAGAP geoid 1384
https://database.factgrid.de/entity/Q357994,Batalha,BITAGAP geoid 1388
https://database.factgrid.de/entity/Q358182,Caminha,BITAGAP geoid 1396
https://database.factgrid.de/entity/Q357612,Alandroal,BITAGAP geoid 1400
https://database.factgrid.de/entity/Q358933,Idanha-a-Nova,BITAGAP geoid 1401
https://database.factgrid.de/entity/Q359444,Odemira,BITAGAP geoid 1404
https://database.factgrid.de/entity/Q359230,Melgaço,BITAGAP geoid 1405
https://database.factgrid.de/entity/Q359625,Penedono,BITAGAP geoid 1406
https://database.factgrid.de/entity/Q359689,Pinhel,BITAGAP geoid 1407
https://database.factgrid.de/entity/Q360444,Sertã,BITAGAP geoid 1409
https://database.factgrid.de/entity/Q360450,Sesimbra,BITAGAP geoid 1410
https://database.factgrid.de/entity/Q359098,Lourinhã,BITAGAP geoid 1411
https://database.factgrid.de/entity/Q359105,Lousã,BITAGAP geoid 1412
https://database.factgrid.de/entity/Q360401,Seia,BITAGAP geoid 1436
https://database.factgrid.de/entity/Q360879,Vila Nova de Foz Côa,BITAGAP geoid 1441
https://database.factgrid.de/entity/Q358196,Campo Maior,BITAGAP geoid 1447
https://database.factgrid.de/entity/Q358472,Coruche,BITAGAP geoid 1704
https://database.factgrid.de/entity/Q357849,Arganil,BITAGAP geoid 1713
https://database.factgrid.de/entity/Q359316,Montalegre,BITAGAP geoid 1716
https://database.factgrid.de/entity/Q358868,Golegã,BITAGAP geoid 1719
https://database.factgrid.de/entity/Q350902,Mora,BITAGAP geoid 1724
https://database.factgrid.de/entity/Q350902,Mora,BITAGAP geoid 1724
https://database.factgrid.de/entity/Q360881,Vila Nova de Gaia,BITAGAP geoid 1735
https://database.factgrid.de/entity/Q359300,Monção,BITAGAP geoid 1747
https://database.factgrid.de/entity/Q357769,Amarante,BITAGAP geoid 1764
https://database.factgrid.de/entity/Q360748,Valongo,BITAGAP geoid 1820
https://database.factgrid.de/entity/Q358451,Condeixa-a-Nova,BITAGAP geoid 1850
https://database.factgrid.de/entity/Q358153,Caldas da Rainha,BITAGAP geoid 1869
https://database.factgrid.de/entity/Q359393,Nazaré,BITAGAP geoid 1873
https://database.factgrid.de/entity/Q360878,Vila Nova de Famalicão,BITAGAP geoid 1875
https://database.factgrid.de/entity/Q359106,Lousada,BITAGAP geoid 1904
https://database.factgrid.de/entity/Q359746,Portimão,BITAGAP geoid 1920
https://database.factgrid.de/entity/Q358021,Belmonte,BITAGAP geoid 1921
https://database.factgrid.de/entity/Q358231,Cantanhede,BITAGAP geoid 1926
https://database.factgrid.de/entity/Q358865,Góis,BITAGAP geoid 1931
https://database.factgrid.de/entity/Q359260,Mira,BITAGAP geoid 1935
https://database.factgrid.de/entity/Q359194,Marvão,BITAGAP geoid 1958
https://database.factgrid.de/entity/Q359726,Ponte de Sor,BITAGAP geoid 1961
https://database.factgrid.de/entity/Q358405,Chamusca,BITAGAP geoid 1969
https://database.factgrid.de/entity/Q357803,Ansião,BITAGAP geoid 1971
https://database.factgrid.de/entity/Q357981,Barreiro,BITAGAP geoid 1979
https://database.factgrid.de/entity/Q360690,Vagos,BITAGAP geoid 1998
https://database.factgrid.de/entity/Q359268,Mirandela,BITAGAP geoid 2012
https://database.factgrid.de/entity/Q360594,Torre de Moncorvo,BITAGAP geoid 2020
https://database.factgrid.de/entity/Q358890,Gouveia,BITAGAP geoid 2025
https://database.factgrid.de/entity/Q359965,Rio Maior,BITAGAP geoid 2037
https://database.factgrid.de/entity/Q359723,Ponte da Barca,BITAGAP geoid 2039
https://database.factgrid.de/entity/Q359265,Miranda do Douro,BITAGAP geoid 2043
https://database.factgrid.de/entity/Q359717,Ponta Delgada,BITAGAP geoid 2063
https://database.factgrid.de/entity/Q358798,Freixo de Espada à Cinta,BITAGAP geoid 2065
https://database.factgrid.de/entity/Q357710,Almeida,BITAGAP geoid 2071
https://database.factgrid.de/entity/Q358709,Figueira da Foz,BITAGAP geoid 2075
https://database.factgrid.de/entity/Q357638,Alcochete,BITAGAP geoid 2081
https://database.factgrid.de/entity/Q359796,Póvoa de Varzim,BITAGAP geoid 2084
https://database.factgrid.de/entity/Q360475,Sines,BITAGAP geoid 2085
https://database.factgrid.de/entity/Q360432,Sernancelhe,BITAGAP geoid 2095
https://database.factgrid.de/entity/Q359450,Oeiras,BITAGAP geoid 2105
https://database.factgrid.de/entity/Q360853,Vila Flor,BITAGAP geoid 2107
https://database.factgrid.de/entity/Q360981,Vouzela,BITAGAP geoid 2114
https://database.factgrid.de/entity/Q360073,Santa Comba Dão,BITAGAP geoid 2231
https://database.factgrid.de/entity/Q358883,Gondomar,BITAGAP geoid 2235
https://database.factgrid.de/entity/Q359093,Loures,BITAGAP geoid 2248
https://database.factgrid.de/entity/Q357599,Aguiar da Beira,BITAGAP geoid 2249
https://database.factgrid.de/entity/Q360869,Vila Nova da Barquinha,BITAGAP geoid 2281
https://database.factgrid.de/entity/Q360086,Santa Cruz,BITAGAP geoid 2282
https://database.factgrid.de/entity/Q360839,Vila de Rei,BITAGAP geoid 2289
https://database.factgrid.de/entity/Q357731,Alter do Chão,BITAGAP geoid 2298
https://database.factgrid.de/entity/Q359278,Mogadouro,BITAGAP geoid 2300
https://database.factgrid.de/entity/Q359148,Mafra,BITAGAP geoid 2302
https://database.factgrid.de/entity/Q357716,Almodôvar,BITAGAP geoid 2318
https://database.factgrid.de/entity/Q357855,Armamar,BITAGAP geoid 2320
https://database.factgrid.de/entity/Q360970,Vinhais,BITAGAP geoid 2322
https://database.factgrid.de/entity/Q358380,Celorico da Beira,BITAGAP geoid 2524
https://database.factgrid.de/entity/Q358354,Castro Marim,BITAGAP geoid 2541
https://database.factgrid.de/entity/Q357824,Arcos de Valdevez,BITAGAP geoid 2551
https://database.factgrid.de/entity/Q360004,Sabrosa,BITAGAP geoid 2573
https://database.factgrid.de/entity/Q357695,Alijó,BITAGAP geoid 2580
https://database.factgrid.de/entity/Q358758,Fornos de Algodres,BITAGAP geoid 2616
https://database.factgrid.de/entity/Q358381,Celorico de Basto,BITAGAP geoid 2622
https://database.factgrid.de/entity/Q359934,Ribeira de Pena,BITAGAP geoid 2640
https://database.factgrid.de/entity/Q358427,Cinfães,BITAGAP geoid 2651
https://database.factgrid.de/entity/Q360912,Vila Verde,BITAGAP geoid 2653
https://database.factgrid.de/entity/Q358614,Esposende,BITAGAP geoid 2660
https://database.factgrid.de/entity/Q359378,Murça,BITAGAP geoid 2686
https://database.factgrid.de/entity/Q359751,Porto de Mós,BITAGAP geoid 2693
https://database.factgrid.de/entity/Q359305,Mondim de Basto,BITAGAP geoid 2709
https://database.factgrid.de/entity/Q358283,Cartaxo,BITAGAP geoid 2711
https://database.factgrid.de/entity/Q357949,Baião,BITAGAP geoid 2714
https://database.factgrid.de/entity/Q360806,Vieira do Minho,BITAGAP geoid 2723
https://database.factgrid.de/entity/Q359242,Mesão Frio,BITAGAP geoid 2727
https://database.factgrid.de/entity/Q357596,Águeda,BITAGAP geoid 2736
https://database.factgrid.de/entity/Q358516,Cuba,BITAGAP geoid 2738
https://database.factgrid.de/entity/Q359123,Mação,BITAGAP geoid 2757
https://database.factgrid.de/entity/Q358813,Fundão,BITAGAP geoid 2761
https://database.factgrid.de/entity/Q357786,Anadia,BITAGAP geoid 2770
https://database.factgrid.de/entity/Q359175,Manteigas,BITAGAP geoid 2776
https://database.factgrid.de/entity/Q360487,Sobral de Monte Agraço,BITAGAP geoid 2823
https://database.factgrid.de/entity/Q358357,Castro Verde,BITAGAP geoid 2840
https://database.factgrid.de/entity/Q359476,Oliveira do Hospital,BITAGAP geoid 2860
https://database.factgrid.de/entity/Q360715,Vale de Cambra,BITAGAP geoid 2877
https://database.factgrid.de/entity/Q359217,Mêda,BITAGAP geoid 2881
