BIOID,NAME_CLASS,NAME_FIRST,NAME_LAST,NAME_NUMBER,NAME_HONORIFIC,NAME_EPITHET,NAME_Q,NAME_BD,NAME_BDQ,NAME_ED,NAME_EDQ,NAME_BASIS,TITLE,TITLE_NUMBER,TITLE_CONNECTOR,TITLE_GEOID,TITLE_Q,TITLE_BD,TITLE_BDQ,TITLE_ED,TITLE_EDQ,TITLE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_Q,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,AFFILIATION_CLASS,AFFILIATION_TYPE,AFFILIATION_Q,AFFILIATION_GEOID,AFFILIATION_GEOIDQ,AFFILIATION_BD,AFFILIATION_BDQ,AFFILIATION_ED,AFFILIATION_EDQ,AFFILIATION_BASIS,SEX,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_INSCLASS,RELATED_INSDETAIL,RELATED_INSID,RELATED_INSIDQ,RELATED_INSBD,RELATED_INSBDQ,RELATED_INSED,RELATED_INSEDQ,RELATED_INSBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA bioid 1604,,,,,,,,,,,,,BIOGRAPHY*TITLE*SENOR,BIOGRAPHY*TITLE_NUMBER*2,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1546,,1417,,1453-07,,,BIOGRAPHY*MILESTONE_CLASS*FLO,,,,,1439-10-10,,1439-10-15,,Faulhaber,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*ASOCIADO,,BETA bioid 1072,,1448,,,,Moya 2014:105,,,,,,,,,,,BETA bibid 2774,,,"728, 968",,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://es.wikipedia.org/wiki/%C3%81lvaro_de_Z%C3%BA%C3%B1iga_y_Guzm%C3%A1n,Wikipedia,2012-06-06,
BETA bioid 1604,,,,,,,,,,,,,BIOGRAPHY*TITLE*SENOR,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 2142,,,,1453-07,,esc. Z.III.9,BIOGRAPHY*MILESTONE_CLASS*DIE,,,,,1453-07,,,,Wikipedia,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*FATHER,,BETA bioid 3194,,,,,,DB~e,,,,,,,,,,,BETA bibid 4572,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q6070475,Wikidata,2022-08-09,
BETA bioid 1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*CORRESPONDENT,,BETA bioid 1603,,1408,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VEA,BETA bibid 8309,,,43529/alvaro-de-zuniga-y-guzman,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*BROTHER,,BETA bioid 5205,,,,,,Wikipedia,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,,Q6070475,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 3558,,,,,,Vicens Hualde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1645,BIOGRAPHY*NAME_CLASS*NATV,Gonzalo,Díaz Palomeque,,,,,,,,,,BIOGRAPHY*TITLE*ARZOBISPO,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1717,,1299-01-16,?,1310-11-02,,{I}DHEE{/I} 2570,BIOGRAPHY*MILESTONE_CLASS*DIE,,,,,1310-11-02,,,,{I}DHEE{/I} 753,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 5770,,,,,,{I}DHEE{/I} 753,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,,Q5882918,,,,,,,,,,,,,,"“tuvo lugar la convocatoria y celebración del concilio provincial de Peñafiel (Palencia), en el que se dieron varios decretos de reforma y se insistió en la inmunidad de las personas y bienes eclesiásticos…Por bula de Clemente V (18-X-1309) se somete la causa de los templarios de Castilla y León a una comisión que, presidida por el arzobispo, estaba integrada por los obispos de Palencia y Lisboa” ({I}DHEE{/I} 753)",,2001-05-02,PELAYO,2024-08-13,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q5882918,Wikidata,2022-08-28,"Gonzalo Díaz Palomeque, arzobispo de Toledo [1299-01-16? - 1310-11-02]"
BETA bioid 1645,BIOGRAPHY*NAME_CLASS*OTHR,Gonzalo,Diego Palomeque,,,,,,,,,{I}DHEE{/I} 655,BIOGRAPHY*TITLE*ARZOBISPO,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1717,,1289,?,1310,,{I}DHEE Sup.{/I} 532,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 5771,,,,,,{I}DHEE{/I} 753,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8309,,,39863/gonzalo-diaz-palomeque,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,https://dbe.rah.es/biografias/39863/gonzalo-diaz-palomeque,RAH DB~e,2022-08-28,
BETA bioid 1645,,,,,,,,,,,,,BIOGRAPHY*TITLE*OBISPO,,BIOGRAPHY*TITLE_CONNECTOR*DE,BETA geoid 1874,,1285-03-15,,1289-01-16,,{I}DHEE{/I} 655,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*GRANDSON,,BETA bioid 4930,?,,,,,Martínez Caviró 2010,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 1936,I,655,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*NEPHEW,,BETA bioid 4931,?,,,,,{I}DHEE{/I} 655,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 1936,II,753,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIOCLASS*SON,,BETA bioid 8856,?,,,,,Martínez Caviró 2010,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 1936,III,2570,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 3034,,532,,,,,,,,,,,,,,,,,,,,,,,,,
BETA bioid 1866,BIOGRAPHY*NAME_CLASS*NATV,Carlos,,BIOGRAPHY*NAME_NUMBER*V,,,,,,,,,BIOGRAPHY*TITLE*EMPERADOR,,,,,1520-02-24,,1556-01-16,,Cappelli,BIOGRAPHY*MILESTONE_CLASS*BOR,,,,,1500-02-25,,,,Agustí et al.,,,,,,,,,,,BIOGRAPHY*SEX*M,BIOGRAPHY*RELATED_BIOCLASS*PATRO-CLI,,BETA bioid 2906,,,,,,,,,,,,,,,,BIOGRAPHY*RELATED_BIBCLASS*VID,BETA bibid 8603,,,Q32500,,BETA manid 3825,,180r,,,,,,,,,,,,1989-01-31,FAULHABER,2024-08-13,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,https://www.wikidata.org/wiki/Q32500,Wikidata,2022-11-27,"Carlos V, emperador [1520-02-24 - 1556-01-16]"
